contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
entailment || a runner poses for a picture with friends in a parking lot. || the runner is posing for a picture.
neutral || a runner poses for a picture with friends in a parking lot. || the runner just got first place.
contradiction || a runner poses for a picture with friends in a parking lot. || the runner has no friends.
contradiction || a nurse is listening to another women's heartbeat with a stethoscope. || a nurse taking the temperature of a woman.
contradiction || a nurse is listening to another women's heartbeat with a stethoscope. || a woman in the doctors office.
neutral || a nurse is listening to another women's heartbeat with a stethoscope. || a woman getting her annual check up.
contradiction || a boy and a woman are on top of large rocks at sunset. || the surface of the earth is visible.
neutral || a boy and a woman are on top of large rocks at sunset. || the sun is at its highest point of the day.
entailment || a boy and a woman are on top of large rocks at sunset. || the faces of the people are visible
neutral || two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice. || the female ice skaters are competing in a tournament.
contradiction || two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice. || two female synchronized swimmers are in the pool.
entailment || two sweet young girls on ice skates, hands up and holding on to each other get ready to begin their performance on the ice. || two females holding each other.
neutral || a white man taking a photo in front of water. || a man is taking a wedding photo in front of a pond.
contradiction || a white man taking a photo in front of water. || a man is using the restroom.
entailment || a white man taking a photo in front of water. || a man is in front of water.
entailment || a man in bright shirt carrying a fallen branch. || there is one man in this picture, and he is outside.
neutral || a man in bright shirt carrying a fallen branch. || the man is cleaning up his yard after the bad thunderstorm the evening before.
contradiction || a man in bright shirt carrying a fallen branch. || the man is sipping an ice tea in the shade of a huge maple tree.
contradiction || a man wearing blue pants, a white helmet, and a green-striped shirt is shown on skis in midair, against a blue sky with a single puffy cloud. || the sky is blue with a single puffy cloud.
contradiction || a man wearing blue pants, a white helmet, and a green-striped shirt is shown on skis in midair, against a blue sky with a single puffy cloud. || the man is sitting down.
neutral || a man wearing blue pants, a white helmet, and a green-striped shirt is shown on skis in midair, against a blue sky with a single puffy cloud. || the man is doing a trick on his skis.
entailment || picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background. || people are making music together.
contradiction || picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background. || a man is playing the trumpet on the street corner.
neutral || picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background. || a band is auditioning for the owners of a nightclub.
entailment || adults and children share in the looking at something, and some young ladies stand to the side. || some children are looking
entailment || adults and children share in the looking at something, and some young ladies stand to the side. || some children are looking while some ladies stand
contradiction || adults and children share in the looking at something, and some young ladies stand to the side. || some children are sleeping
contradiction || very young boy is standing outside near a water fountain that is built into the ground and is squirting water. || the water sprays on the boy.
contradiction || very young boy is standing outside near a water fountain that is built into the ground and is squirting water. || the young boy is standing inside.
entailment || very young boy is standing outside near a water fountain that is built into the ground and is squirting water. || the boy is standing near a water fountain.
contradiction || the white dog runs across the snow. || the dog was indoors by the fire.
entailment || the white dog runs across the snow. || the dog is outside.
neutral || the white dog runs across the snow. || the dog was a husky.
contradiction || man in casual dark shirt and pants and hat dances with curly-haired blond woman in short red dress and red high heels || nobody is dancing.
contradiction || man in casual dark shirt and pants and hat dances with curly-haired blond woman in short red dress and red high heels || dancing is going on a room.
contradiction || man in casual dark shirt and pants and hat dances with curly-haired blond woman in short red dress and red high heels || dancing is going on in a big room.
contradiction || two cars, one red and one blue, race each other in a very tight and competitive nature as fans stand by and watch. || two cars are parked in a garage not moving.
neutral || two cars, one red and one blue, race each other in a very tight and competitive nature as fans stand by and watch. || the red and blue cars are racing for the finish line.
contradiction || two cars, one red and one blue, race each other in a very tight and competitive nature as fans stand by and watch. || two cars are racing.
neutral || a man in military uniform points as three other men watch. || the man is training some guys
contradiction || a man in military uniform points as three other men watch. || the man is at the supermarket.
contradiction || a man in military uniform points as three other men watch. || the man is wearing green
contradiction || a group of people in front of some tan colored tents from the american parkinsons disease association. || superman single handedly cures the disease
neutral || a group of people in front of some tan colored tents from the american parkinsons disease association. || a group shows up to an event to support research on parkinsons
neutral || a group of people in front of some tan colored tents from the american parkinsons disease association. || they show up to donate and support for the fight against the disease
neutral || a person with a green backpack is riding a bike down the road. || the person is riding there bike to lunch.
entailment || a person with a green backpack is riding a bike down the road. || there is a person with a green backpack.
entailment || a person with a green backpack is riding a bike down the road. || the person is walking.
contradiction || a woman in a blue striped shirt is talking to someone on the street. || a woman talking to a stranger.
neutral || a woman in a blue striped shirt is talking to someone on the street. || a woman talking to someone.
contradiction || a woman in a blue striped shirt is talking to someone on the street. || a woman dancing in the street.
entailment || a group of people in jackets and hats are kneeling outside posing for a picture, each one with their dog by them on a leash. || some people are outside kneeling.
contradiction || a group of people in jackets and hats are kneeling outside posing for a picture, each one with their dog by them on a leash. || a group of people holding cats take a picture.
neutral || a group of people in jackets and hats are kneeling outside posing for a picture, each one with their dog by them on a leash. || a group of people are part of a dog lover's group.
contradiction || man racing a quad on a dirt racetrack. || a woman cuts herself.
neutral || man racing a quad on a dirt racetrack. || a man races on a four wheeler in a charity event.
neutral || man racing a quad on a dirt racetrack. || a man racing on a dirt track.
contradiction || a blond woman is looking at a camera that a brunette woman is holding in front of a wall with several pieces of art on it. || a blond woman is holding a camera and looking at a wall with several pieces of sharks on it.
neutral || a blond woman is looking at a camera that a brunette woman is holding in front of a wall with several pieces of art on it. || a woman is helping her friend take a picture.
entailment || a blond woman is looking at a camera that a brunette woman is holding in front of a wall with several pieces of art on it. || a woman is looking at a camera.
neutral || using a soccer ball for support, a young boy in blue sits atop a park bench. || a child is playing in the park.
entailment || using a soccer ball for support, a young boy in blue sits atop a park bench. || a girl is inside playing a board game.
entailment || using a soccer ball for support, a young boy in blue sits atop a park bench. || a boy is playing with other children.
entailment || a boy wearing a shirt with the simpsons character, ralph wiggum, plays a nintendo ds with his sister. || a boy is playing with a ball.
neutral || a boy wearing a shirt with the simpsons character, ralph wiggum, plays a nintendo ds with his sister. || a boy is playing a nintendo ds with his sister who he loves.
contradiction || a boy wearing a shirt with the simpsons character, ralph wiggum, plays a nintendo ds with his sister. || a boy is playing a nintendo ds with his sister.
entailment || the player in the white dribbles the ball, while the player in the orange tries to stop him. || a player in white readies to hit with his baseball bat, while a player in orange motions to pitch the ball.
entailment || the player in the white dribbles the ball, while the player in the orange tries to stop him. || two people are playing ball.
neutral || the player in the white dribbles the ball, while the player in the orange tries to stop him. || the player in white and the player in orange are participating in a pick-up game of basketball at the gym.
entailment || two men are playing during a basketball game. || two men are playing.
contradiction || two men are playing during a basketball game. || two men are fighting each other to the death.
neutral || two men are playing during a basketball game. || two men are playing during a college basketball game.
neutral || two little white dogs running. || a few dogs are running to their owner.
contradiction || two little white dogs running. || a dog is sitting in a car.
entailment || two little white dogs running. || two dogs are moving.
contradiction || women enjoying a game of table tennis. || women are playing ping pong.
contradiction || women enjoying a game of table tennis. || one woman really sucks at playing ping pong.
contradiction || women enjoying a game of table tennis. || women are reading books.
neutral || railroad workers working on the tracks at nighttime || people on their last day of work
entailment || railroad workers working on the tracks at nighttime || there are people outside at night
contradiction || railroad workers working on the tracks at nighttime || workers are blinded by the sun
neutral || an elderly woman wearing a skirt is picking out vegetables at a local market. || this woman is on a shopping trip.
entailment || an elderly woman wearing a skirt is picking out vegetables at a local market. || a young girl is blowing bubbles.
contradiction || soccer players are playing a night game and the ball is in the air, while the two teams fight for it. || the sun was shining during the soccer match.
entailment || soccer players are playing a night game and the ball is in the air, while the two teams fight for it. || the soccer game is being played at night.
neutral || soccer players are playing a night game and the ball is in the air, while the two teams fight for it. || the opposing team is winning the evening soccer match.
neutral || a scruffy man is standing in front of a red shopping cart filled with boxes. || a man by a full shopping cart.
contradiction || a scruffy man is standing in front of a red shopping cart filled with boxes. || a clean shaven man with an empty blue shopping cart.
neutral || a scruffy man is standing in front of a red shopping cart filled with boxes. || a homeless man with a shopping cart.
neutral || a woman wearing very formal colorful clothing and she seems to be dancing. || a sad woman wearing very formal colorful clothing and she seems to be dancing.
entailment || a woman wearing very formal colorful clothing and she seems to be dancing. || a man wearing very formal colorful clothing and she seems to be dancing.
entailment || a woman wearing very formal colorful clothing and she seems to be dancing. || a person wearing very formal colorful clothing and she seems to be dancing.
neutral || people standing with their bicycles. || the people are taking a break from riding their bikes.
contradiction || people standing with their bicycles. || people are sitting on their unicycles.
contradiction || people standing with their bicycles. || the bicycles are besides the people.
entailment || a man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event. || two men standing together are dressed up.
neutral || a man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event. || the two men are at a wedding.
entailment || a man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event. || the two men are wearing surfer shorts and tank tops.
contradiction || a man draws a caricature of a woman. || a man painting a car.
contradiction || a man draws a caricature of a woman. || a man drawing.
neutral || a man draws a caricature of a woman. || a man drawing a caricature of his wife.
neutral || many roller derby players skating around the rink. || roller derby players laying down after the match.
neutral || many roller derby players skating around the rink. || roller derby players skating around the rink at practice.
contradiction || many roller derby players skating around the rink. || roller derby players skating around the rink.
neutral || people, mainly women and 2 referees, are skating fiercely during a roller derby match. || fierce competition in the roller derby women's final match ensues.
entailment || people, mainly women and 2 referees, are skating fiercely during a roller derby match. || there is a roller derby match involving women.
entailment || the number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents. || a rollerskater behind the pack.
contradiction || the number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents. || a rollerskater pulling away from the pack.
neutral || the number eight rollerskater is taking the lead and pulling away from her black and red dressed opponents. || a skater ahead of the competition in a race.
neutral || a man dressed in black and white is standing on the side of the street eating an ice cream cone. || the man is eating chocolate ice cream.
contradiction || a man dressed in black and white is standing on the side of the street eating an ice cream cone. || the man is eating sushi in his bathtub.
entailment || a man dressed in black and white is standing on the side of the street eating an ice cream cone. || the man is outdoors.
neutral || a young man in a white hat is playing golf with an older man wearing a blue, long-sleeved shirt and khakis. || there is an older man teaching his grandson how to play golf.
entailment || a young man in a white hat is playing golf with an older man wearing a blue, long-sleeved shirt and khakis. || there are people of differing ages outside playing golf.
contradiction || a young man in a white hat is playing golf with an older man wearing a blue, long-sleeved shirt and khakis. || there are two men boxing at a crowded gym.
contradiction || workers are removing ice from a walkway. || workers having a coffee break
neutral || workers are removing ice from a walkway. || workers removing ice from a walkway in front of a school
entailment || workers are removing ice from a walkway. || workers outside on a slippery walkway
neutral || two oriental older women gathering rice from the fields. || some asian women are walking in the field of rice.
neutral || two oriental older women gathering rice from the fields. || the old asian women are chasing each other.
entailment || two oriental older women gathering rice from the fields. || two asian women are wearing hats.
contradiction || two men spar in martial arts gear. || there is only one person present.
neutral || two men spar in martial arts gear. || they are wearing all black gear.
entailment || two men spar in martial arts gear. || there are multiple people present.
entailment || people standing at a beach with cameras. || people standing at a beach being filmed by cameras.
contradiction || people standing at a beach with cameras. || a group of people standing at a beach filled with cameras.
entailment || people standing at a beach with cameras. || people sitting on top of a deck near a beach.
neutral || a man and woman setup a camera. || a man and woman prepare to record a scene
entailment || a man and woman setup a camera. || a man and woman working on a washing machine
entailment || a man and woman setup a camera. || two people setup a device
entailment || two children are looking through a telescope on a city street, and the boy is using a step ladder to see through the eyeglass. || two children are looking at a city street through binoculars.
entailment || two children are looking through a telescope on a city street, and the boy is using a step ladder to see through the eyeglass. || two children are looking through a telescope together at a city street.
neutral || two children are looking through a telescope on a city street, and the boy is using a step ladder to see through the eyeglass. || two children are testing out their new telescope and seeing what they can see on the street.
entailment || two individuals use a photo kiosk || there are two individuals
entailment || two individuals use a photo kiosk || the people are together
entailment || two individuals use a photo kiosk || the people are on a bike
neutral || a young child plays on a beach next to an empty chair. || a young child is visiting the beach with his family on their summer vacation.
entailment || a young child plays on a beach next to an empty chair. || there is one child in this picture.
neutral || a young child plays on a beach next to an empty chair. || a young child is swinging on a swing set at his local city park.
neutral || a woman standing in front of a wall holding a can of bud light with her shirt tied into a semi-halter. || the woman who is shown lives in the south.
contradiction || a woman standing in front of a wall holding a can of bud light with her shirt tied into a semi-halter. || everybody visible is dressed extremely formally.
entailment || a woman standing in front of a wall holding a can of bud light with her shirt tied into a semi-halter. || something alcoholic is visible.
entailment || a man stands by a load of boxes near a pizza restaurant. || a man stands by some boxes near a dumpster.
entailment || a man stands by a load of boxes near a pizza restaurant. || a man stands near a load of boxes on fire.
entailment || a man stands by a load of boxes near a pizza restaurant. || a man stands by boxes.
contradiction || a man with a tan jacket with a full grocery bag is crossing the street. || the man is wearing nothing but a t shirt.
contradiction || a man with a tan jacket with a full grocery bag is crossing the street. || the man just went shopping at the grocery store.
entailment || a man with a tan jacket with a full grocery bag is crossing the street. || the man is wearing a jacket.
entailment || a large crowd is gathered outside and one woman is yelling. || a group of protestors engages with a woman inside an auditorium.
entailment || a large crowd is gathered outside and one woman is yelling. || a woman yells while a groups of people gathers.
neutral || a large crowd is gathered outside and one woman is yelling. || a protest is assembling.
neutral || lot of people are gathered in front of a building. || people stand outside of the building, awaiting the all clear after a fire drill.
entailment || lot of people are gathered in front of a building. || people gather in front of a building.
contradiction || lot of people are gathered in front of a building. || people walk back inside the building.
entailment || an medical worker examines a young girl. || a health worker is evaluating a girl.
contradiction || an medical worker examines a young girl. || a health worker is evaluating the health of a young boy.
contradiction || an medical worker examines a young girl. || a health worker is evaluating a girl on her sickness.
entailment || a girl in a black sweater and jeans pours water into an empty soda bottle. || someone pours water into a bottle
contradiction || a girl in a black sweater and jeans pours water into an empty soda bottle. || a girl pours water into an empty coca cola bottle
entailment || a girl in a black sweater and jeans pours water into an empty soda bottle. || a girl pours water into the ocean
entailment || men are playing rugby while covered in mud. || there is mud on the rugby players.
contradiction || men are playing rugby while covered in mud. || the men are perfectly free of mud.
neutral || men are playing rugby while covered in mud. || it rained recently.
entailment || a woman in a hooded type coat is holding a golden colored axe. || a woman holds an axe.
entailment || a woman in a hooded type coat is holding a golden colored axe. || a man holds a sword.
entailment || a woman in a hooded type coat is holding a golden colored axe. || a woman holds a metal axe.
entailment || a roofer in a gray sweatshirt and orange hat walks on a unfinished roof at a lake-side home. || the man is fixing a bike.
entailment || a roofer in a gray sweatshirt and orange hat walks on a unfinished roof at a lake-side home. || the roofer is outside working.
neutral || a roofer in a gray sweatshirt and orange hat walks on a unfinished roof at a lake-side home. || the roofer is putting on shingles.
entailment || a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor. || a man sits on the floor
entailment || a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor. || a guy in brown jumps up in a room with a  wood floor
entailment || a man in jeans and a brown shirt jumps high in the air in a living room that has a fireplace and wooden floor. || a man jumps high
entailment || man jumping up in the air and splitting his legs with his mouth open. || a man is jumping.
entailment || man jumping up in the air and splitting his legs with his mouth open. || a man is walking down the street.
entailment || man jumping up in the air and splitting his legs with his mouth open. || a man is performing in front of a crowd.
contradiction || asian women selling fruits from baskets at an outdoor market || women selling fruits
contradiction || asian women selling fruits from baskets at an outdoor market || black women on the  beach
entailment || asian women selling fruits from baskets at an outdoor market || asian women at a market
entailment || women wait under their umbrellas for customers at a fresh food market. || it is raining outside.
contradiction || women wait under their umbrellas for customers at a fresh food market. || the fresh food market is closed.
entailment || women wait under their umbrellas for customers at a fresh food market. || the umbrellas are open.
neutral || construction worker looking over the job site. || construction worker at work
contradiction || construction worker looking over the job site. || this worker is in charge of everyone
contradiction || construction worker looking over the job site. || the worker is building a base on mars
neutral || a basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot. || the basketball player on the white team makes the basket.
neutral || a basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot. || a basketball player is trying to make a shot while two players try to block it.
contradiction || a basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot. || three men are playing cards at starbucks.
entailment || two people are sitting on a rock looking off into the distance. || two people are outdoors.
contradiction || two people are sitting on a rock looking off into the distance. || the diver is swimming up to the water surface.
neutral || two people are sitting on a rock looking off into the distance. || two people are out looking for a good camping spot.
contradiction || woman smiling while holding a book and yellow paper star. || the woman reading book in the hall
neutral || woman smiling while holding a book and yellow paper star. || the woman holding book and yellow paper star with smiling
contradiction || woman smiling while holding a book and yellow paper star. || the woman holding book with smiling in the home
contradiction || a young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her. || the woman is frowning.
contradiction || a young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her. || the young girl is wearing a red shirt.
neutral || a young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her. || the girl is smiling because she is having fun.
contradiction || a man in a tank top fixing himself a hotdog. || they are girls there too
entailment || a man in a tank top fixing himself a hotdog. || the child was happy`
entailment || a man in a tank top fixing himself a hotdog. || two girls were ther
entailment || a shirtless man is painting over a graffiti filled wall with a paint roller. || a man is painting a wall.
neutral || a shirtless man is painting over a graffiti filled wall with a paint roller. || a man is scrubbing graffiti off the wall.
contradiction || a shirtless man is painting over a graffiti filled wall with a paint roller. || a shirtless man paints a wall red.
contradiction || a man on a bicycle, wearing cycle gear, riding at a fast past down paved trail surrounded by tree's and grass. || the man is riding on the sidewalk.
neutral || a man on a bicycle, wearing cycle gear, riding at a fast past down paved trail surrounded by tree's and grass. || the man is riding fast down a trail.
neutral || a man on a bicycle, wearing cycle gear, riding at a fast past down paved trail surrounded by tree's and grass. || he is heading to the cabin down the trail.
entailment || a man with a paddle stands next to a woman with a bikini top; and her arms are in a dance pose. || two men bellydance
entailment || a man with a paddle stands next to a woman with a bikini top; and her arms are in a dance pose. || someone dances while a man holds a paddle
neutral || a man with a paddle stands next to a woman with a bikini top; and her arms are in a dance pose. || a guy paddles for his wife
neutral || asian individuals are taking pictures of some unidentified thing. || asians spot what they think is a ufo and take pictures.
neutral || asian individuals are taking pictures of some unidentified thing. || asians play soccer in the park.
neutral || asian individuals are taking pictures of some unidentified thing. || asians take pictures.
contradiction || a group of young adults are standing on a street in front of a brick wall with a tall wooden gate. || a group of friends watches a movie inside.
entailment || a group of young adults are standing on a street in front of a brick wall with a tall wooden gate. || a group stands on the street in front of a brick wall.
neutral || a group of young adults are standing on a street in front of a brick wall with a tall wooden gate. || a group of friends poses for a picture in front of a brick wall.
contradiction || a man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road. || the person is stealing display boards.
contradiction || a man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road. || a man is buying a lottery ticket.
contradiction || a man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road. || the man is pushing a cart down the road.
entailment || a yellow race car sliding through a corner as spectators watch. || a nascar is being watched.
entailment || a yellow race car sliding through a corner as spectators watch. || a racecar is being watched.
contradiction || a yellow race car sliding through a corner as spectators watch. || there are no cars at the racetrack today.
contradiction || a man and a woman running in the street. || the man and woman are running in a marathon.
entailment || a man and a woman running in the street. || the man and woman are outdoors.
entailment || a man and a woman running in the street. || the man and woman are walking.
contradiction || a woman with a bag is sitting amongst three people who are reading books. || the woman is sitting.
contradiction || a woman with a bag is sitting amongst three people who are reading books. || nobody is reading a book.
contradiction || a woman with a bag is sitting amongst three people who are reading books. || the woman is in a library.
entailment || a scientist studies a slide in order to work on her new creation. || a woman is reading.
neutral || a scientist studies a slide in order to work on her new creation. || a scientist studies a slide that is related to her invention.
entailment || a scientist studies a slide in order to work on her new creation. || a woman standing near a microscope.
contradiction || a small quaint town all lit up during the holiday season. || the town is totally dark.
entailment || a small quaint town all lit up during the holiday season. || there are lights in the town.
entailment || a small quaint town all lit up during the holiday season. || the town has snow on the ground.
neutral || a person dressed in a jacket and long pants walks down a snow-covered street in a small town. || the pants are long.
neutral || a person dressed in a jacket and long pants walks down a snow-covered street in a small town. || the pants are new.
neutral || a person dressed in a jacket and long pants walks down a snow-covered street in a small town. || the town is well-populated.
contradiction || a student in a green shirt is writing in a notebook. || a person at the movies
neutral || a student in a green shirt is writing in a notebook. || a student studying for a big exam
entailment || a student in a green shirt is writing in a notebook. || a person with a book
entailment || a mountainous photo is complete with a blue sky. || someone has taken a photo.
neutral || a mountainous photo is complete with a blue sky. || there is a photo of mt everest.
neutral || a mountainous photo is complete with a blue sky. || the photo was taken on a cloudy night.
entailment || young boy plays with a truck outdoors, while a woman waits. || young boy has many toy trucks
contradiction || young boy plays with a truck outdoors, while a woman waits. || young boy sits inside
entailment || young boy plays with a truck outdoors, while a woman waits. || young boy plays outside
entailment || a man in a purple mascot costume is standing outside of a store while a man and a woman each wearing flamboyant clothing stand off to the side. || the man is wearing the costume.
neutral || a man in a purple mascot costume is standing outside of a store while a man and a woman each wearing flamboyant clothing stand off to the side. || the costume is green.
neutral || a man in a purple mascot costume is standing outside of a store while a man and a woman each wearing flamboyant clothing stand off to the side. || the costume is promoting the man's work.
entailment || a person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back. || the person is moving her hand.
contradiction || a person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back. || the person is alone in the middle of the ocean.
neutral || a person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back. || the person is marching in a parade.
neutral || three men on mountain bikes go over a sand hill. || men on bikes go over a sand hill to get to the finish line.
neutral || three men on mountain bikes go over a sand hill. || men walk their bikes after getting flat tires.
contradiction || three men on mountain bikes go over a sand hill. || men on bikes go over a sand hill.
contradiction || a man and woman in formal attire are standing in a high grass meadow, posing for the photographer, and she has two of her fingers up on one hand behind his head. || a couple enjoying some alone time.
neutral || a man and woman in formal attire are standing in a high grass meadow, posing for the photographer, and she has two of her fingers up on one hand behind his head. || a couple are having a photoshoot.
neutral || a man and woman in formal attire are standing in a high grass meadow, posing for the photographer, and she has two of her fingers up on one hand behind his head. || a couple are having their wedding picture taken.
neutral || four men are posing behind a cash register. || the men all know each other.
entailment || four men are posing behind a cash register. || two men are posing.
entailment || four men are posing behind a cash register. || four men are posing.
entailment || an asian woman dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her || an asian woman is dancing.
entailment || an asian woman dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her || an asian woman is dancing sexily.
entailment || an asian woman dances with long ribbons, she is mid jump with her legs pointed to the right and the red ribbons flowing on either side of her || an asian man is dancing.
entailment || a big black poodle running on the grass with a toy in its mouth. || a dog is playing outside.
neutral || a big black poodle running on the grass with a toy in its mouth. || a dog returns a toy to its owner.
neutral || a big black poodle running on the grass with a toy in its mouth. || a white dog stole a toy.
neutral || a young boy in a cowboy hat rides a large horse. || a boy is pretending to be a cowboy.
entailment || a young boy in a cowboy hat rides a large horse. || a boy rides a horse.
contradiction || a young boy in a cowboy hat rides a large horse. || a boy is sleeping.
neutral || a man wearing his traditional ethnic clothing laughs as he views a show. || a man wearing his traditional ethnic clothing sobs relentlessly as he views a show.
neutral || a man wearing his traditional ethnic clothing laughs as he views a show. || a man is laughing as he watches a show in a theater.
entailment || a man stands on a dock near several boats, while 2 other men are on one of the boats. || a man is standing.
contradiction || a man stands on a dock near several boats, while 2 other men are on one of the boats. || a man is sitting on a dock.
contradiction || a man stands on a dock near several boats, while 2 other men are on one of the boats. || a man with brown hair is standing on a dock.
neutral || a man wearing a blue shirt and headphones around his neck raises his arm. || a man is raising his arm to get someones attention.
entailment || a man wearing a blue shirt and headphones around his neck raises his arm. || the man has a two boomboxes on his shoulders.
entailment || a man wearing a blue shirt and headphones around his neck raises his arm. || a man is raising his arm.
entailment || a man rides a black motorcycle while wearing a helmet and a van rides beside him in the distance. || a man rides a white horse while wearing a cowboy hat and a another horse rides beside him.
entailment || a man rides a black motorcycle while wearing a helmet and a van rides beside him in the distance. || a motorcycle and a van ride next to each other.
neutral || a man rides a black motorcycle while wearing a helmet and a van rides beside him in the distance. || a man rides a black motorcycle while wearing a helmet and a pizza delivery van rides beside him in the distance.
neutral || a red truck is parked next to a burning blue building while a man in a green vest runs toward it. || the burning blue building will turn to dust after an hour.
neutral || a red truck is parked next to a burning blue building while a man in a green vest runs toward it. || the burning blue building smells of smoke
contradiction || a red truck is parked next to a burning blue building while a man in a green vest runs toward it. || the red truck is a fire truck.
entailment || two belly dancers perform with each other in the streets while passersby look on and watch the display. || two belly dancers perform
neutral || two belly dancers perform with each other in the streets while passersby look on and watch the display. || two dancers are making money
entailment || two belly dancers perform with each other in the streets while passersby look on and watch the display. || two men are walking
entailment || a lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean. || a woman is a good surfer.
contradiction || a lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean. || a woman is surfing in her pool.
contradiction || a woman looks at a plate filled with steam. || the woman is out shopping at the mall.
entailment || a woman looks at a plate filled with steam. || the woman is cooking something exciting.
contradiction || a woman looks at a plate filled with steam. || the woman is in a kitchen.
entailment || a group of children in african clothing. || a person in clothing
entailment || a group of children in african clothing. || some humans in green clothing
contradiction || a group of children in african clothing. || nobody is here.
neutral || a soccer player with black and red striped uniform gets ready to kick the soccer ball || a soccer player gets ready to kick the ball after a penalty.
contradiction || a soccer player with black and red striped uniform gets ready to kick the soccer ball || a football player gets ready to throw the ball.
entailment || a soccer player with black and red striped uniform gets ready to kick the soccer ball || a soccer player gets ready to kick the ball.
contradiction || a man wearing a hat and boots is digging for something in the snow. || a man is walking on sunshine.
entailment || a man wearing a hat and boots is digging for something in the snow. || a man is digging the snow outside.
neutral || a man wearing a hat and boots is digging for something in the snow. || a man is trying to get to something by digging.
entailment || two people, one wearing an orange jersey and a white belt, and another wearing a blue jersey and a red belt are playing flag football. || two people play flag football.
contradiction || two people, one wearing an orange jersey and a white belt, and another wearing a blue jersey and a red belt are playing flag football. || two people play baseball.
entailment || two people, one wearing an orange jersey and a white belt, and another wearing a blue jersey and a red belt are playing flag football. || two people on oposite teams play flag football.
contradiction || a guy in a blue shirt chases a guy in an orange shirt during a game of flag football. || two people are playing flag football at the park.
entailment || a guy in a blue shirt chases a guy in an orange shirt during a game of flag football. || two people are playing flag football.
entailment || a guy in a blue shirt chases a guy in an orange shirt during a game of flag football. || two people are enjoying ice cream.
neutral || indian musicians playing in the evening on a pillow, while life behind them continues. || it is morning.
entailment || indian musicians playing in the evening on a pillow, while life behind them continues. || the musicians are care free.
entailment || indian musicians playing in the evening on a pillow, while life behind them continues. || musicians are passionate about music.
contradiction || a group of people in a room, most with computers, some raising their hands. || the group is in a classroom.
contradiction || a group of people in a room, most with computers, some raising their hands. || the group of people is outside playing basketball.
entailment || a group of people in a room, most with computers, some raising their hands. || some people have questions.
entailment || a group of people are walking by a van. || some people outdoors.
entailment || a group of people are walking by a van. || people getting ready to enter a vehicle.
contradiction || a group of people are walking by a van. || some men driving down a road.
neutral || a boy toddler is holding a bat he is about to swing at a pinata. || a child is about to hit the panda with a stick.
contradiction || a boy toddler is holding a bat he is about to swing at a pinata. || a child is crying because he didn't get cake
entailment || female in a military uniform with her hair tied back. || the female is wearing a ponytail
entailment || female in a military uniform with her hair tied back. || the man has long hair
contradiction || female in a military uniform with her hair tied back. || the female is wearing her hair up
contradiction || a man in a red shirt and a blue hat is sitting on a sidewalk and touching drinking glasses. || a man sips whisky
contradiction || a man in a red shirt and a blue hat is sitting on a sidewalk and touching drinking glasses. || two women sit in a cafe
entailment || a man in a red shirt and a blue hat is sitting on a sidewalk and touching drinking glasses. || a guy with a hat sits with a glass
entailment || a woman in a striped shirt holds an infant. || a woman holds her baby.
contradiction || a woman in a striped shirt holds an infant. || a person is watching tv.
entailment || a woman in a striped shirt holds an infant. || a woman is dressed.
contradiction || a man playing guitar and signing next to a woman in a dress playing an instrument || a dog is playing drums.
neutral || a man playing guitar and signing next to a woman in a dress playing an instrument || a man and woman collect money for playing.
