Test Accuracy : 0.4711
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
contradiction || contradiction || but no, her zeal for good works was too great.  || she had no zeal.
neutral || neutral || the small entities are composed of tier ii day care home providers who will experience a large decrease in reimbursement rates for meals served. || the small entities were a bit issue for the government because they did not incorporate all the varying factors that were present.
neutral || neutral || the rest of the country had endured vietnam and watergate, but new york had its own little  bankruptcy and physical collapse. || new york couldn't focus on vietnam and watergate because they were having problems with bankruptcy.
neutral || contradiction || mccain's ultimate weapon is cynicism. || mccain is optimistic.
entailment || contradiction || my home all right my home is about fifteen years old || i burned my home down fifteen years ago
contradiction || contradiction || nothing." tuppence nodded gloomily. || nothing! tuppence exclaimed excitedly
contradiction || entailment || and the victims you know the family of these people that have been murdered they just have to have it dragged on for years and years before they ever get any resolution || the family of the victims are dragged on and on for years until they get any resolution.
contradiction || contradiction || in the apse there's a moving mosaic of the madonna above a frieze of the 12 apostles. || the artist was told to refrain from making any paintings of the madonna or religious figures. 
contradiction || contradiction || computer security act of 1987 addresses the importance of ensuring and improving the security and privacy of sensitive information in federal computer systems. || there is no computer security act of 1987 in existence. 
neutral || neutral || quite dead. || the dog was dead. 
entailment || neutral || oh yeah i can remember at one time the the uh secretaries actually had to be artists and  and technicians and today uh with the laser printer || yes, i remember that at one time the secretaries had to be artists and technicians, but in the future this will change a lot.
entailment || entailment || joyce himself must have known the house as the residence of mr. denis j. maginni, professor of dancing, who appears several times in ulysses. || denis j. maginni appears several times in ulysses.
contradiction || contradiction || tommy, i'm getting discouraged. || the speaker ignores tommy and says nothing.
entailment || entailment || we will feed you to each other making you fat on your own until it is our time to feast. || there is cannibalism involved.
contradiction || contradiction || first, the earthquake of 1923 and subsequent fire razed nearly all vestiges of old edo, killing some 140,000 people in the process. || edo was never affected by an earthquake throughout its history.
contradiction || neutral || anna quindlen's third novel--a thriller about domestic violence--is seen as yet another way to repackage her old new york times columns. || quindlen has only written three novels.
neutral || neutral || the privacy and confidentiality of medical records, credit histories, and other personal data on millions of individuals stored in electronic databases are also at potential risk. || some electronic databases were hacked leaving the privacy and confidentiality of medical records, credit histories, and other personal data of many people at risk.
contradiction || entailment || at the same time, there are other key assumptions that epa adopted to facilitate the evaluation of the four scenarios. || key assumptions exist that the epa embraced to quicken the evaluation.
entailment || neutral || so have we been very very fortunate || we have been very fortunate that someone helped us back then.
entailment || neutral || and yet, while this oversaving is costly to any given generation, it enriches future generations. || our generation is benefiting from the savings of the past generation.
entailment || entailment || it's my money || this money belongs to me.
entailment || entailment || quite a long trek to the northwest is the small museo arqueolegico, noted for its exceptional collection of roman mining tools used to extract the considerable mineral wealth of la unien, a neighbouring inland town. || an excellent collection of roman mining equipment is held by the museo arqueolegico. 
contradiction || contradiction || perspectives on the household saving rate. || the only opinion that anyone has on the household saving rate.
contradiction || contradiction || additionally, some synergies have been observed between methylmercury and lake acidity - the more acidic, the greater the mercury concentration. ||  no synergies exist between methylmercury and lake acidity.
entailment || entailment || tommy dropped off the bed and came and inspected the contents of the tray. || tommy took the bed somewhere.
contradiction || contradiction || i worked with several other people, israelis and americans, to develop a policy that would rescue israel from devastating inflation and set the country on a course of durable economic progress. || i do not work with any americans to improve the economic situation in israel.
neutral || entailment || (1) how long are seasonal agricultural workers typically in the united states? || do seasonal agricultural workers stay in the us for a while?
entailment || contradiction || this section includes all the most important towns and regions to help you make your choice. || the section shows a wide variety of towns, making it hard for you to choose.
contradiction || neutral || so be it. || let the butterfly be.
entailment || contradiction || dark and cramped, crawling and chipping at an invisible wall in front hoping the mountain didn't collapse. || they called in a wrecking ball to destroy the wall.
contradiction || contradiction || however, much of the beautiful artwork found here is, for the moment, in the archaeological museum in athens. || the artwork here cannot be found anywhere else.
contradiction || entailment || oh well that's great that's great || that is absolutely amazing.
contradiction || neutral || we've got a couple of live oaks in the front yard and of course they're they weren't native to this particular spot but they seem to have done pretty good and || live oaks are known to thrive in almost any type of landscape.
contradiction || contradiction || this is a good place to rest and recuperate, and gain a different slant on life in the city; you may come upon the barge cafe, which travels up and down the canal, and serves breakfast and brown-bag lunches. || the barge cafe stands completely still, making it easier to locate.
neutral || entailment || al gore, chemical brother || a chemical brother is al gore.
neutral || entailment || i need to go over there and stay about twenty years so i can just travel go around all the places stonehenge of course you know every everybody makes the obligatory trip to stonehenge || i want to travel there for twenty years.
contradiction || neutral || the postal revenue decreases by e of a cent times the 20 billion pieces, but the postal cost decreases by 4a time the 20 billion pieces. || the postal cost decrease is the main factor in the increase of revenue.
contradiction || entailment || her face was round and kindly, which somehow made her temper all the more terrifying. || she had a horrible temper.
entailment || neutral || right have you ever been to canada || have you seen canada? 
contradiction || contradiction || we are also using many recruiting flexibilities that are available to most agencies, including an extensive campaign to increase our competitiveness on college campuses and extending offers of employment during the fall semester to prospective employees who will come on board the following spring and summer. || agencies cannot be flexible in their recruiting efforts.
contradiction || entailment || all the major towns have several shops with jackets, hats, boots, rain gear, etc. || all the major towns have stores.
contradiction || contradiction || time 's package backlashes against recent articles ( the new yorker , newsweek ) suggesting that parents matter little in a child's upbringing. || the articles had no backlash from time's package.
neutral || neutral || me, i has me a ridin' mule as kin smell apaches two miles off. || the mule is really useful for letting me know when apaches are nearby.
neutral || entailment || oh yes, it also appears, according to experts who have carefully examined the skeleton, that he was caucasian. || experts say that he was caucasian.
entailment || entailment || the place also offers a terrific view. || a terrific view can be seen at the place.
entailment || contradiction || time 's cover story tries to explain how colleges are gouging u. tuition has risen twice as fast as inflation, says time , mostly because parents are willing to pay, but also because universities hoard their endowments and pay their professors too much. || tuition has decreased to a third of what it once was.
neutral || entailment || organizational techniques companies use to perpetuate or change beliefs and values || companies use organizational techniques to strengthen their values.
contradiction || contradiction || the other men turned and stared at the salt miner. || the man ignored the miner.
contradiction || neutral || madrid may be a planned bureaucrat's town (like brasilia or washington), but it's far richer in color and tone. || madrid is more than just a bureaucrat town.
entailment || neutral || it probably won't come naturally to an american male, but, in an attempt to enter into the spirit of french daily life, i will cultivate a look of my own. || american males probably can't dress fashionably naturally.
entailment || entailment || then came the dreyfus affair, and monet's faith in french nationalism was shattered. || monet originally had faith in french nationalism.
entailment || neutral || in biographies well i uh i have read some biographies i prefer to read if i read a biography it's mostly because maybe i have to uh you know back when i was in school i had to have information about that person or um preparing some kind of lesson and i need to have || i have read some biographies about famous people and politicians.
contradiction || contradiction || oh i wish i had that booklet here oh i think i do it's right here uh i'll look at the end because those would be the best ones okay || i don't think we need that booklet, but i didn't bring it with me anyway.
neutral || neutral || can a new speed-reading manual be far behind? || the growing popularity of speed-reading has put a new manual into demand.
neutral || entailment || now accuses pk of being too friendly with the bad boys of the religious  media mogul james dobson (who gave pk its initial seed money and promotes it on his radio network), pat robertson (who promotes pk on television), and gary bauer (who heads the dobson-backed family research council). || pk is being accused by now for being too friendly with people like james dobson and pat robertson.
contradiction || entailment || mccann's performance is said to be almost unbearable. || mccann's performance is said to be terrible.
contradiction || contradiction || i came over to europe on purpose to find you and a pretty dance you've led me." the car slackened speed. || i did not come here with the intention of finding you.
entailment || neutral || yeah me too me too i need to go actually get something to eat here || i would like to join you next time you go to eat there.
entailment || entailment || than typing and everything so oh yeah it's it's uh around the corner || it's around the corner.
entailment || neutral || such a system, however, might not be the most desirable, one downside being that the smallest single-piece mailers could default to a rate that is high enough to cover all destinations. || small single-piece mailers can be a rate of 35c.
neutral || contradiction || newsweek 's michael jordan cover story focuses on off-the-court jordan. || the times covery story focused on jordan's basketball career. 
contradiction || neutral || thank you, sir. slim ran out again, closing the door gently behind him. || slim was happy with the answer and quietly left the room.
contradiction || neutral || but the shopping avenger was born again. || they avenged shopping, everyone was happy. 
neutral || neutral || i think that's that's that's not very likely || i actually know for certain that that is highly improbable
neutral || neutral || but uh i really i really enjoy the car i have now and i do want to hold onto it and and uh you know enjoy it while it's not having any mechanical problems whatsoever in fact it never has and uh || i think i'm going to keep the car i have now for a few more years.
entailment || neutral || and you wear it in plain sight? said a'deem. || a'deem was wondering if you wear your armor in plain sight.
neutral || neutral || but since there's so much more to go around that that leaves the the lower classes with more || since the economy has been good and there is more money, the low class people have more.
neutral || entailment || to remain biological they uh women are because they have choice are having children much later in life || women have the choice to have children later in life.
contradiction || contradiction || in addition, several of the security managers expressed interest in improving their ability to more precisely measure the costs and benefits of security-related activities so that their organizations could better determine which controls and activities were the most cost effective. || the managers do not care about their spending.
contradiction || contradiction || the price in the restaurants on tor road is exorbitant, but you might like to try the beef either grilled straight or prepared japanese-style as sashimi (raw), sukiyaki (thinly sliced and pan-fried), or shabu-shabu (stewed in a hot-pot broth). || the restaurants on tor road have all been closed.
contradiction || entailment || perhaps it would be more correct to say i'm preparing a case. || he'd be right to say i'm preparing a case.
contradiction || contradiction || the forbes campaign claims that more than 160 stations in 45 states carry this commentary. || all 50 states carry this commentary.
neutral || contradiction || um yes yeah we just had salmon last night for dinner uh but also the spices here um old bay is a spice i don't know if you're even aware of it it's what they used on the || we just had beef last night for dinner.
entailment || contradiction || the friezes on the northern side, depicting battle scenes, weaponry, and naval equipment, celebrate julius caesar's victories over the gallic tribes of the region and the merchant fleet of the greek colony in marseilles. || the gallic tribes defeated julius caesar's army.
neutral || neutral || a rich variety of natural beauty close by provides opportunities to explore caves, a waterfall, and secluded beaches. ||  there is a lot of natural beauty around the resort and you can take a free shuttle to see it all.
contradiction || entailment || there's not exactly a shortage of them. || there is no shortage of them.
neutral || contradiction || like net fund raising, net advertising isn't destined to replace the older method (i.e. || net advertising is going to replace the older method.
contradiction || contradiction || cara, his youngest female, belched at him as he left. || cara was silent.
neutral || neutral || in 1782, after only a few years, the city decided to impose planning guidelines. || the 1782 planning guidelines were abandoned seven years later.
contradiction || entailment || acknowledging the situation's class dimensions blunted the racial animosity--and created a coalition of blacks and less affluent whites. || the blacks and poor whites joined together.
entailment || contradiction || and uh he actually they came out with a european racing green uh miata that's a limited edition they're only going to make like three or four thousand so he went out and he traded the other one in and got this one and i'm like um || the miata has been pushed back a few years on the production schedule.
neutral || contradiction || well i think that covers it || i have much more to say.
neutral || entailment || croatia is ostensibly a democracy, but it has functioned under tudjman like a semi-fascist dictatorship. || croatia is a democracy that has been functioning like a dictatorship.
contradiction || neutral || right well it truly surprises me because it seems like we seems like we do get a lot of rain but i guess not i guess it doesn't accumulate too much but um i'm glad it's summer || i'm glad its summer so we can go boating at the lake.
entailment || contradiction || 'so you're not just here to bring me in?' || so you're here to take me?
entailment || neutral || yeah i i don't have any children so but i i have a lot of friends with children  and i know they spend a lot of time with them  which is good || i want to have kids one day.
contradiction || contradiction || but this new housing was grimly overcrowded, and even a frenzy of construction couldn't keep pace with the demand for living space. || the housing had only 2 people in it.
entailment || contradiction || to protect your privacy, ask your bank to restrict access to your records and beg your member of congress for legislative protections. || your privacy will be protected without any action taken on your part.
neutral || neutral || the design for the new building was the subject of a competition won by spanish architect and designer enric miralles. || the new building was intended to look similar to the old building.
neutral || neutral || the assault was a failure, but it thrust into the limelight its young leader, fidel castro. || the assault was a failure, but it thrust into the limelight its young leader, fidel castro as a military leader.
contradiction || entailment || this is more complex because the criterion of sufficient protection is much less certain ||  the criterion of sufficient protection is very uncertain
neutral || neutral || the factual record before the commission demonstrates that congress' purpose of providing meaningful representation to h-2a workers for claims arising under their employment contracts cannot be accomplished under the original interpretations offered in the federal register notice. || h-2a workers can not be helped when working issues come up because of the wording in the federal register notice. this allows employer to treat them unfairly with no recourse.
contradiction || entailment || a brilliant blue lizard flashed over my feet, chasing after a cockroach. || a lizard ran past me.
entailment || entailment || portugal's wine industry produces not only excellent table wines from regions like dao, douro, and alentejo, but legendary port wine, which comes from the north. || portugal's wine industry produces excellent table wines. 
contradiction || contradiction || mexico blames the american company that processed the berries. || mexico lauded the american company for destroying the berries.
entailment || neutral || abraham, the first jewish patriarch, led his people here in search of  the land of milk and honey ; jesus christ was born, lived, ministered, and died here; and mohammed, the founder of islam, visited jerusalem during his heavenly  night journey.   || mohammed has visited jerusalem several times in his lifetime.
contradiction || entailment || nevertheless, u.s. officials assert that the helicopters and army soldiers are an expansion of the air operation, supporting the air campaign, and not a ground force. || the air operation is not a ground force.
contradiction || entailment || note that these estimates, while approximating the full impact of daily pollution levels on daily death counts, do not capture any impacts of long-term exposure to air pollution. || the estimates don't include long term air pollution.
contradiction || neutral || the rph does not much elaborate on how he would balance the budget after his cuts. || his budget cuts are totally unexplainable.
entailment || entailment || yeah um-hum at uh camp warnicke || yes, at camp warnicke.
neutral || entailment || safe sex. || safe sex can be achieved.
contradiction || entailment || maintains the inhouse capabilities to perform the design reviewrelated do federal agencies face functions listed above. || they need the capability to perform a design review.
entailment || entailment || hotels, restaurants, and shops have proliferated, extending a warm welcome and the best of lakeland hospitality to ever-growing numbers of visitors. || there are hotels, restaurants, and shops in the area.
entailment || entailment || aim-9x missile program the aim-9x development practices closely paralleled best practices used by the commercial companies we visited. || the aim-9x used similar practices to commercial companies.
entailment || contradiction || and they're never going to let liquor in there || you can take liquor in there. 
entailment || entailment || meanwhile, in june alone, big chinese enterprises affiliated with ministries and local governments raised 17. || chinese companies linked to ministries and local governments got 17.
entailment || entailment || this is the more obvious criterion that distinguishes dole. || this is what distinguishes dole.
contradiction || contradiction || kind of hilly country up through this way but || lots of flat, desert land around here.
entailment || entailment || the analysis concluded that the rule as proposed in 1993 would have had severe adverse effects on small businesses. || small businesses would go under as an consequence of that rule.
entailment || entailment || okay it was nice chatting with you bye-bye || bye, it was good talking to you.
entailment || entailment || to the right and left of the gate there are paneled galleries, also carved and painted with a motifs from pine and plum trees, birds of the field, and waterfowl. || waterfowl are depicted on the paneled galleries.
neutral || entailment || if there's going to be any fun, now is when it will begin. || the fun is going to start now.
entailment || neutral || projected ac demand due to multipollutant initiative. || aggregate costs for the initiative are high.
neutral || entailment || they're blooded stock. || they are high quality animals.
contradiction || contradiction || the stupid beasts twirled around the train's tiny interior, screeching as they bounced off the walls. || the beasts were very calm.
entailment || neutral || go to the living room and get a glass of water go to the bedroom and make the bed go do something || go do something like make a sandwich or go outside for a walk.
neutral || contradiction || consequently, we have developed this standards update which supersedes our previously issued standards for internal controls in the federal government. || the standards for internal controls in the federal government are continued through this day.
contradiction || neutral || and they'll steal jackets they'll holdup kids and they'll take their jackets and chains you know just get out of the car and || they only steal jackets and chains.
entailment || contradiction || the estimated total annual incremental cost to the industry is $81. || it is estimated that the total annual incremental cost to the industry will be $287.
contradiction || neutral || yeah i do too i think i think a lot of people a lot more people volunteer than than uh than we than get credit for it as you know like in hospitals and uh and the shelters and stuff like that and even if it is a couple times a year like at the holidays i mean at least they're getting out and doing it and  you know perhaps helping and helping out i think that's good and || a lot of the people you've never heard of are spending time doing good.
entailment || contradiction || some people feel that , found in most browsers, are a security hole, but i strongly disagree. || i agree that security holes are found in web browsers.
neutral || neutral || can 2,500 economists be wrong? || 2,500 economist could purposefully be wrong due to collusion.
contradiction || neutral || if a president were proved to have had an adulterous liaison while in the white house, the american people 'should certainly be concerned about it ... || the people of america should be concerned if any government official is proven to have had adulterous liaison.
neutral || entailment || but uh thanksgiving i i don't really care that much for turkey it's too dry for me || i don't like turkey at thanksgiving because it is too dry.
entailment || neutral || a low-ceilinged room in one of the buildings has been venerated for centuries as the tomb of king david. || everybody just assumed that a particular room in that building is king david's tomb.
contradiction || contradiction || he suggested that niaaa reclaim indirect grant costs from institutions that did not implement positive findings from their research. || he stood quietly since he had nothing to suggest.
contradiction || contradiction || so that's who number 1 is, said tommy with his mouth full of eggs and bacon. || tommy does not talk with his mouth full.
entailment || neutral || figure 1: organization and accountability criteria for the department of homeland security || how to regulate the department of homeland security.
neutral || entailment || this appalled wordsworth, who said that the lake district should be viewed as  a sort of national property, in which every man has a right and interest who has an eye to perceive and a heart to enjoy.   || this appalled wordsworth who said the lake district should be seen as national property that every citizen has interest in and a right to enjoy.
contradiction || contradiction || if someone wants to estimate the cumulative volume growth for a period, she has to multiply the annual growth rates in columns (5), (8), and (11) by the number of years in the period. || there is no way to estimate cumulative volume growth.
entailment || entailment || the analyst was asked by him to report whether strychnine was, or was not, present.  || an analyst was tasked to see if a chemical compound was there.
entailment || neutral || a generation later, during the war of 1812, many new englanders considered seceding from the united states, whose federal government was then dominated by southern politicians. ||  new englanders felt that the federal government, then dominated by southern politicians, would not consider their viewpoints on important policies.
neutral || contradiction ||  it's done for local benefit (measuring a new therapy against placebo isn't useful for the west || it is not done for the benefit of locals. 
neutral || entailment || his voice rose into a command that rang out over the cries of the others. || his voice boomed into a order that screamed on top of the other cries.
entailment || entailment || quality and evaluation  planning || two part planning.
contradiction || contradiction || the information required by sections 603(b)(3) and || information is not required by any statute on the books.
neutral || neutral || but it was only her purse they were after.  || it was only her purse they were after, as they knew what documents she'd concealed within it. 
neutral || neutral || there are many reasons for this lack of real competition. || many people have tried to compete before, but they failed.
contradiction || contradiction || from the 1970s through the mid 1990s, federal deficits absorbed a large share of private saving and reduced the amount of national saving available for investment (see figure 4.1). || private savings have not been effected since 1965.
entailment || entailment || if you are not claustrophobic, take the opportunity to enter the crypt below the temple floor, as the carvings here were never defaced and are still precise and clean. || the carvings in the crypt beneath the floor of the temple are clean and undamaged. 
neutral || contradiction || for a case study methodologist and for gao, if proper care is taken, this should not be a problem. || even when proper care is taken, this is a problem.
entailment || contradiction || well as annual performance reporting and follow-up actions based on performance results. || follow-up actions are independent of annual performance results.
entailment || entailment || mary cavendish brought our coffee to us.  || mary cavendish was carrying coffee
entailment || entailment || first, it's based on a contradiction. || the basis for it is a contradiction.
neutral || neutral || the petit palais, at the northern end of the place du palais, displays, together with interesting gothic sculpture and frescoes of the avignon school, a fine collection of italian painting from the 13th to 16th centuries, including major works by taddeo gaddi, veneziano, botticelli, and carpaccio's holy conversation. || the petit palais is open to the public from monday to saturday.
neutral || entailment || (the baseball season is another and amc is a third.) || there is another baseball season and amc is in its third. 
entailment || neutral || he clutched albert by the shoulder. || he grabbed albert's left shoulder. 
contradiction || contradiction || i mean it's not as vast a country as like you know where you people are from because i lived in abilene for a little while || i have never been to abilene.
neutral || neutral || an' it was a pleasure to do fo' a gentleman. || i am always happy to help others out.
contradiction || entailment || why doesn't o'connor address his pronouncements to his flock instead of the world at large and suggest catholic ballplayers sit out good friday? || why won't o'connor keep his opinions to his followers only?
contradiction || contradiction || right knowledge at the right time. || knowing nothing
contradiction || neutral || he will be thrilled to know that a new york lawyer, by the name of richard fishbein, has sued an eatery (angelo &amp; maxie's) for $7 million for holding him hostage when he refused to pay the 18 percent service charge added to his bill. || fishbein is the most famous ny attorney.
entailment || entailment || hud reports that the interim rule and the accompanying economic analysis were reviewed and approved by omb as required by e.o. 12866. || omb has reviewed and approved the interim rule.
contradiction || entailment || the surrounding landscaped grounds are kept in pristine condition. || the landscaped grounds are in pristine condition.
contradiction || entailment || the vice president provides no support for interpreting the term aagency- in title 31 as excluding the nepdg. || the vice president does not assist in the interpretation of the word agency. 
contradiction || contradiction || however, even some of these will prove remarkably flexible if you try bargaining. || prices are fixed here so there's no point in trying to get a discount.
entailment || contradiction || wine profits were huge, and by 1800 exports had reached nine million bottles per year. || wine exporting shrank sharply.
neutral || entailment || and i just don't know sir but they it seems like they trying to get you every which way || they're trying to take advantage of me.
entailment || contradiction || 'you have to make them think that your experiment worked. || you must get them to think that it was a failure. 
contradiction || contradiction || you'll hang about outside. || you shouldn't wait outside.
entailment || entailment || boston university, for example, forced its three nobel prize winners to teach undergraduates. || there were multiple nobel prize winners from boston.
neutral || contradiction || the licchavi kings founded the city as kantipur in the eighth century and laid the foundations of the hanuman dhoka durbar, the palace which gives this area its name. || the kantipur kings founded hanuman dhoka durbar in the tenth century.
neutral || neutral || there are no court decisions in the relevant jurisdiction that support starr on the notion that leaking what people tell investigators before they testify about what they will testify to is ok. || because of starr's notion about what is acceptable to report to the public before someone actually testifies, a court hearing will most likely occur in the near future.
contradiction || neutral || the climax was inevitably coming soon, and the group at the table next to theirs was all ears, too, in the anticipation of a pathologically deviant story. || the story was about a farmer and her husband.
contradiction || entailment || unable or unwilling to court the old vassal malay states or the orang laut pirates to patrol the seas, the new rulers forfeited their predecessors' commercial monopoly in the melaka straits and, with it, command of the moluccas spice trade. || the new rulers abandoned the monopoly and command of the spice trade.
neutral || neutral || however, the requirements now found at section 3(b)(2)(a), (d), and (e) were similarly included in the previous version of the executive order and it appears that the department meets those requirements. || the executive order has caused the change in requirements.
entailment || entailment || the cloisters house a national museum of roman, early christian, and byzantine sculpture. || a museum of roman, christine, and byzantine sculpture is within the cloister.
neutral || entailment || newspapers were getting agitated. || the press was getting impatient with the situation.
neutral || neutral || is this the other one of which you spoke? asked ca'daan. || ca'daan is at a dinner meeting with his friend and a person who he seems to recolonize. 
entailment || entailment || if he did not, should he risk trying to make an ally of her?  || should he attempt with uncertainty to try and make her on his side?
neutral || entailment || for the individual professor, a grade budget is a stifling constraint. || professors constantly have to deal with the stress of budget constraints.
entailment || neutral || dudovitz won iwasaki's backing to oppose the deal, and legal services corp., the national funding source, overruled the proposed san gabriel-pomona valley/orange county merger. || legal services corp overruled the merger, saying it would damage services availability.
contradiction || contradiction || um oh then we always video tape || we always record data.
contradiction || entailment || i don't like it!  || the person doesn't like it.
neutral || neutral || (he has forsworn cereal analogies.) || he has sworn against using cereal analogies because they annoy him.
contradiction || neutral || these are the color pastel shirts you may wear or white shirts with this kind of stripe in it for the men and this kind of shoe and  hair just this way yeah || the colour shoes you can wear are black, dark blue or dark brown.
entailment || neutral || instead of printing out intake forms and faxing them to the other providers, who then must manually enter the data into their systems, intake information will be transferred electronically from one system to the other. || instead of printing out intake forms information will be transferred via fax machine.
entailment || neutral || in terms of government, it is part of the spanish province of baleares. || the government has been a part of the spanish province of baleares for years.
contradiction || contradiction || invalides eiffel tower || the eiffel tower is located in madrid, spain.
neutral || entailment || okay well i guess i can tell you that tonight is murphy brown that's the one i don't miss and i don't know if you've seen that that's with candace bergen || murphy brown, the television show that stars candace bergen, is a show that i always watch. 
entailment || neutral || oh definitely hum-um hum-um no but they think and probably the right people buy it || they think this.
neutral || neutral || no, no, no! cried miss howard wildly, flinging up her hands.  || miss howard was distraught to finally hear the truth.
entailment || entailment || but orthodoxy continues to prevail against the logic of economic analysis. || orthodoxy overcomes the logic of economic analysis.
contradiction || contradiction || two magnificent state rooms follow, both designed by sir william bruce as part of the extensions and refurbishment in the 1660s. || although refurbishments were completed in the 1660s, no additional rooms were added.
contradiction || entailment || we don't have to use those as a matter of fact it wasn't designed that way initially at all the solid uh propellant rockets were a uh you know were time saving money saving afterthought || we don't have to use solid rocket propellants.
entailment || contradiction || but there is still a long way to go. || there isn't much longer to go.
entailment || neutral || consider the transformation of ditch-digging from a relatively slow and somewhat imprecise process involving several ordinary shovels, much labor effort, and low skill levels to a faster and more precise process often involving a single power digger controlled by a skilled operator. || the development of computers also facilitated this transfer from human to machine labor.
neutral || contradiction || what were you doing there? i asked, in lively curiosity.  || i asked no more questions despite the lingering doubt i had.
neutral || neutral || uh i think it depends on what what it was they did and if the evidence was uh uh if there was no doubt in my mind that that person was guilty of that crime || if the evidence says they're guilty, they most likely are.
entailment || neutral || yeah i think it's getting better not worse well i should probably get back to my job || my boss will yell at me if i don't get back to my job. 
neutral || neutral || this report also will be available on our web site at www.gao.gov. || they are thrilled to offer the report on the www.gao.gov website.
entailment || neutral || i mean i think i've read all four of them and i understand that there's a fifth in the last six weeks he's been on the road a lot || i think there is a sixth one coming soon.
contradiction || contradiction || by the old mexican law the hunting season for horses runs from october to march. || hunting horses is forbidden year-round by old mexican law. 
neutral || neutral || next to the shopping center, in south william street, is the small and eclectic dublin civic museum , an unassuming record of dublin life over the years. || the dublin civic museum is a record of dublin over the years.
entailment || contradiction || so we we had a feeling we'd be coming back this way and again there they don't sell all the cars with air conditioning it's you know it's really a not || the cars sold there all have air conditioning.
neutral || neutral || in planning examination-level attestation engagements, auditors should obtain a sufficient understanding of internal control that is material to the subject matter or assertion to plan the engagement and design procedures to achieve the objectives of the attestation engagement. || too often, auditors implement best practices that have been developed for other industries.
contradiction || contradiction || it was more of an enormous lean-to than a true building, but it was the best protection now available. || truly a building, it was a dangerous prospect to even enter.
neutral || entailment || they were visible through the open window, standing together in the grassy field and lost in animated conversation. || they could be seen through the open window, standing and talking in the field.
neutral || entailment || at that time, without reform, the deficit will soar to unimaginable levels. || reform is necessary to prevent the deficit from rising.
neutral || neutral || making uh above middle class income whatever that is in the the united states now || i wishi made that much money. 
entailment || neutral || all the information and records that a student obtains are filed in a computer system accessible by trla's attorneys throughout its service area, hall says. || the trla uses a linux based computer system to store student information.
entailment || contradiction || it's a testimony to his energy that when editors questioned his hacker piece, he erected a web site to prove the existence of a nonexistent software company. || it's a testimony to how little energy he has, since he made a whole site just to deal with the questions.
contradiction || contradiction || for example, a key target would be saving enough to afford the nation's costs for supporting the aging population. || supporting the aging population is not a part of the nation's cost.
neutral || neutral || how can we defend against such men? said alvic. || alvic thought they were too weak to defend themselves.
neutral || entailment || collections such as asian art and egyptian artifacts are on terraced balconies, allowing a full view of the roof from the ground floor. || the ground floor is a suitable location to see the asian works of art from.
entailment || contradiction || i don't think i've ever i think i've that there was some girl there i've been there like maybe a dozen times but i actually like that site better than the other one just because of the type people that go to || i like that site, but i've seen better.
entailment || entailment || no, old fellow, i don't think that will wash." 117 but i had remembered something else.  || i remembered something that would solve the problem.
contradiction || neutral ||  "the mathematician thought of such an idea," sersa garm said sourly. || mathematicians always come up with the very best ideas.  
neutral || neutral || so he's says i ought to join one of those that makes you go but they're and you're saying it doesn't then you pay all that monthly stuff you know || he thinks i should join a gym that makes you go every month or they start cutting off your limbs.
contradiction || entailment || he's ah! with a shriek of terror she sprang to her feet. || she was sitting down for a while and then she screamed and ran away. 
contradiction || contradiction || the preamble to the final rule includes the full text of the final regulatory flexibility analysis. || the final rule does not have its own preamble.
entailment || contradiction || uh the the giants' coach um what's his name i can't think of his name || i remember the name of the giants' coach, let me tell you what it is
neutral || contradiction || she has been kind and generous to these cavendishes, but she was not their own mother.  || she was cruel and rude to these cavendishes, despite being their mother.
contradiction || neutral || and the condominium we moved in before my husband went over and painted but i the experience that i've had is that um || we lived in a tiny condo that we gutted.
entailment || neutral || nih has developed a multiple agency, shared file system that allows all authorized users to have access to the completed contractor performance evaluations of all subscribing agencies via the internet. || the shared file system has eleven subscribing agencies.
entailment || contradiction || these are only for decoration and not intended to ward off evil spirits volcanic or otherwise. || these decorations are vital to keeping spirits at bay.
neutral || neutral || many of the refugees were nobles of the chetri warrior caste from rajasthan; forging new feudal states in nepal, they were responsible for reinforcing hinduism at the expense of buddhism. || many of the refugees were nobles of the chetri warrior caste from rajasthan because their country had just fallen. 
contradiction || neutral || he wants the united states to adopt an emergency tariff of between 10 percent and 15 percent on imports to force other countries to abandon their mercantile trading strategies. || he wants that an emergency tariff is adpoted in the united states, said the news.
entailment || neutral || me me too you're really roughing it yeah || you are roughing it with your camping style.
contradiction || entailment || in the model discussed in part ii above, the cost of basic mail is 26. || we known the exact basic cost for mail from the model discussed above.
entailment || contradiction || that would be barnam, said severn. || severn saw barnam's nemesis, bob, approaching.
contradiction || entailment || they don't have no crime || they haven't any crime.
entailment || entailment || don't you think people are going to wonder why i'm here so much? || don't you reckon people are going to start asking themselves why i visit a lot?
neutral || entailment || projects funded innortheast texas by the emergency jobs || emergency jobs funded the project.
entailment || neutral || if thorn or the kal should fall or become pressed, jon would know. || somebody would let jon know if the kal or thorn were defeated. 
