Test Accuracy : 0.6626
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
neutral || contradiction || three workers, with life vests and hard hats, on a boat hanging from cables over water. || 4 fisherman are hanging over the boat, trying to pet the shark
neutral || neutral || a man wearing a short-sleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a long-sleeved blue shirt and black pants also using snow walking sticks. || two people go to work in a blizzard
neutral || entailment || a man wearing a short-sleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a long-sleeved blue shirt and black pants also using snow walking sticks. || a guy with a blue top carries a pack and makes his way through snow
contradiction || contradiction || a man wearing a short-sleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a long-sleeved blue shirt and black pants also using snow walking sticks. || two men play with a snowman
contradiction || neutral || a man in a plaid shirt looking through a telescope lens. || the man is watching the stars
contradiction || contradiction || a man in a plaid shirt looking through a telescope lens. || the man is wearing a black shirt
entailment || entailment || a man in a plaid shirt looking through a telescope lens. || a man is looking through a telescope
entailment || contradiction || a female runner dressed in blue athletic wear is running in a competition, while spectators line the street. || there are children in the streets.
entailment || entailment || a female runner dressed in blue athletic wear is running in a competition, while spectators line the street. || there are people on the street.
contradiction || contradiction || a female runner dressed in blue athletic wear is running in a competition, while spectators line the street. || the streets are empty.
entailment || entailment || a man is painting a picture outside behind a crowd. || a painter is creating a picture.
neutral || neutral || a man is painting a picture outside behind a crowd. || a man is recreating the mona lisa outside in front of a crowd.
entailment || entailment || a young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti. || a man does a flip off a wall.
entailment || neutral || a young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti. || a young man does a flip off a wall and wares baggie clothes.
contradiction || contradiction || a young man in a blue hoodie doing a flip off of a half-wall that is covered in graffiti. || a young man in a blue hoodie falls off a half-wall that is painted nicely.
contradiction || entailment || two dogs run together near the leaves. || two dogs are running.
contradiction || contradiction || two dogs run together near the leaves. || the two dogs are sleeping on the pile of leaves.
neutral || neutral || two dogs run together near the leaves. || the two dogs are running to play in the leaves.
entailment || entailment || a man with no shirt on is performing with a baton. || a man is doing things with a baton.
contradiction || contradiction || a man with no shirt on is performing with a baton. || a man throws a banana in the air.
neutral || neutral || a man with no shirt on is performing with a baton. || a man is trying his best at the national championship of baton.
entailment || entailment || a crowd wearing orange cheering for their team in a stadium. || people wearing orange.
entailment || contradiction || a crowd wearing orange cheering for their team in a stadium. || a group of drag queens walking down the street.
neutral || entailment || a crowd wearing orange cheering for their team in a stadium. || fans cheering on their team at the big game.
neutral || entailment || female gymnasts warm up before a competition. || gymnasts get ready for a competition.
contradiction || contradiction || female gymnasts warm up before a competition. || football players practice.
neutral || neutral || female gymnasts warm up before a competition. || gymnasts get ready for the biggest competition of their life.
neutral || neutral || dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen. || a man is going to surprise his wife with dinner.
entailment || entailment || dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen. || a man is cooking something to eat.
contradiction || contradiction || dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen. || a man is sitting watching tv.
entailment || entailment || a worker peers out from atop a building under construction. || a person is atop of a building.
entailment || contradiction || a worker peers out from atop a building under construction. || the unemployed person is near a building.
entailment || neutral || a worker peers out from atop a building under construction. || a man is atop of a building.
neutral || entailment || a young child joyfully pulls colorful tissue paper from a decorated box, looking for his present. || a child pulls colorful tissue paper from a fancy box
neutral || contradiction || a young child joyfully pulls colorful tissue paper from a decorated box, looking for his present. || a child fights a bag, the bag is winning
neutral || neutral || a young child joyfully pulls colorful tissue paper from a decorated box, looking for his present. || a child opens a present on his birthday
neutral || neutral || a young boy in red leaping into sand at a playground. || a young boy jumps onto his friends sand castle at a playground.
entailment || entailment || a young boy in red leaping into sand at a playground. || a child is playing in the sand.
neutral || contradiction || a young boy in red leaping into sand at a playground. || a child does a cannonball into a pool.
neutral || neutral || two boys reading superhero books || two boys reading a book about spiderman.
neutral || contradiction || two boys reading superhero books || two boys watching a superhero show.
entailment || entailment || two boys reading superhero books || two boys reading a piece of literature.
contradiction || contradiction || a man in a suit driving a horse-drawn buggy down a stone street. || the man is driving a limosine.
contradiction || entailment || a man in a suit driving a horse-drawn buggy down a stone street. || the man is driving a buggy.
entailment || neutral || a man in a suit driving a horse-drawn buggy down a stone street. || the man is an amish man.
entailment || entailment || a blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something. || a little male has clothes on with a pair of scissors in his hands.
neutral || neutral || a blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something. || a blond little boy is cutting out little stars for his little sister.
contradiction || contradiction || a blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something. || a blond little boy is sleeping.
contradiction || contradiction || a person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits. || the man is dressed in summer clothing.
neutral || neutral || a person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits. || the female awaiting the man leaping is his sister.
entailment || entailment || a person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits. || the man in white and black is leaping.
neutral || neutral || elderly woman in blue apron balances a basket on her head on a sidewalk while talking to a woman dressed in black. || the woman balancing a basket on her head is heading to her neighbors house.
entailment || entailment || elderly woman in blue apron balances a basket on her head on a sidewalk while talking to a woman dressed in black. || elderly woman is balancing something on her head while having a conversation.
neutral || neutral || blond woman overlooking seattle space needle scene. || a tourist checking out seattle.
contradiction || entailment || blond woman overlooking seattle space needle scene. || someone taking in the space needle view.
contradiction || contradiction || blond woman overlooking seattle space needle scene. || a man enjoying the view of the golden gate bridge.
entailment || contradiction || an old man looking over a sculpture. || the man is young
neutral || neutral || an old man looking over a sculpture. || the man is at an art gallery
neutral || entailment || an old man looking over a sculpture. || the man is old
contradiction || entailment || the soccer team, clad in blue for the match, began to counter down the field in front of the defender, clad in red. || the soccer team in blue plays soccer.
neutral || neutral || the soccer team, clad in blue for the match, began to counter down the field in front of the defender, clad in red. || the blue soccer team is playing its first game of the season.
contradiction || contradiction || the soccer team, clad in blue for the match, began to counter down the field in front of the defender, clad in red. || a soccer team hangs out in the locker room.
contradiction || contradiction || two little kids without shirts are sitting down facing each other. || two children are sleeping at daycare
contradiction || neutral || two little kids without shirts are sitting down facing each other. || two children are sitting shirtless indoors
neutral || neutral || two little kids without shirts are sitting down facing each other. || two young children are playing with each other and giggling while playing with markers
entailment || contradiction || workers standing on a lift. || workers walk off a lift
neutral || contradiction || workers standing on a lift. || workers walk home from work
entailment || entailment || workers standing on a lift. || workers stand on a lift
neutral || neutral || two people talking on a dock. || fishermen at the dock
contradiction || contradiction || two people talking on a dock. || women shopping at the mall
entailment || entailment || two people talking on a dock. || people outside
neutral || neutral || a young boy using a field microscope to identify a field specimen during a field trip. || the boy is on a science field trip.
entailment || contradiction || a young boy using a field microscope to identify a field specimen during a field trip. || the young girl looks through the telescope.
entailment || entailment || a young boy using a field microscope to identify a field specimen during a field trip. || the boy is looking through a microscope.
entailment || entailment || a man has flung himself over a pole with people and canopies in the background. || a guy has hurled himself in the air.
contradiction || contradiction || a man has flung himself over a pole with people and canopies in the background. || the man is running after a robber.
neutral || neutral || a man has flung himself over a pole with people and canopies in the background. || a person is performing a trick at the circus.
entailment || entailment || a golfer is getting ready to putt on the green, with a crowd of people watching in the background. || a golfer readies to putt the ball.
neutral || entailment || a golfer is getting ready to putt on the green, with a crowd of people watching in the background. || the golfer is getting ready to putt on the green, with a crowd watching in the background.
neutral || contradiction || a golfer is getting ready to putt on the green, with a crowd of people watching in the background. || the golfer retired from play today.
contradiction || contradiction || a child in a ninja outfit does a jumping kick. || a child is wrestling with bears
entailment || entailment || a child in a ninja outfit does a jumping kick. || a child does a jumping kick
contradiction || neutral || a child in a ninja outfit does a jumping kick. || a child in a black ninja suit does a kick
entailment || neutral || three men are sitting outside on chairs with red seats. || men are having a conversation outside.
contradiction || contradiction || three men are sitting outside on chairs with red seats. || three men are sitting at the kitchen table.
entailment || entailment || three men are sitting outside on chairs with red seats. || men are sitting outside.
entailment || entailment || a person is sitting in front of a graffiti covered wall. || there's a place to sit near a wall
entailment || neutral || a person is sitting in front of a graffiti covered wall. || a person is sitting outside
contradiction || contradiction || a person is sitting in front of a graffiti covered wall. || a person is laying at home
contradiction || contradiction || a man cooking over high flames. || a man is raking the yard.
neutral || neutral || a man cooking over high flames. || a man is cooking for his friends.
entailment || entailment || a man cooking over high flames. || a person is preparing some food.
entailment || entailment || a man cooking with fire in like 5 pots at the same time! || a man is cooking with a lot of pots.
neutral || neutral || a man cooking with fire in like 5 pots at the same time! || a man is cooking dinner for his family in a bunch of pots.
entailment || contradiction || a man cooking with fire in like 5 pots at the same time! || a man is cooking with a bunch of ovens.
entailment || entailment || a man with a long white beard is examining a camera and another man with a black shirt is in the background. || a man is with another man
entailment || contradiction || a man with a long white beard is examining a camera and another man with a black shirt is in the background. || a man takes a picture of a woman
entailment || neutral || a man with a long white beard is examining a camera and another man with a black shirt is in the background. || a man is with a cowboy
neutral || neutral || four women are taking a walk down an icy road. || the road is dangerous for the four women to try to walk on because it is covered in ice.
contradiction || entailment || four women are taking a walk down an icy road. || the women are walking on the ice.
contradiction || contradiction || four women are taking a walk down an icy road. || four women are walking near the dry highway.
neutral || neutral || four men stand in a circle facing each other playing brass instruments which people watch them. || people love the music
contradiction || contradiction || four men stand in a circle facing each other playing brass instruments which people watch them. || the men are watching a sports channel
entailment || entailment || four men stand in a circle facing each other playing brass instruments which people watch them. || the men are playing music
contradiction || contradiction || a man is shooting a gun outdoors, on what looks like a beautiful sunny day. || a man is shooting a bow and arrow on a rainy day.
neutral || entailment || a man is shooting a gun outdoors, on what looks like a beautiful sunny day. || a man is shooting a gun at targets on a nice day.
neutral || neutral || a man is shooting a gun outdoors, on what looks like a beautiful sunny day. || a man is shooting a gun outside with his friends.
contradiction || contradiction || a group of footballs players is standing behind a coaching official. || there is only one person present.
neutral || neutral || a group of footballs players is standing behind a coaching official. || they are college football players.
entailment || entailment || a group of footballs players is standing behind a coaching official. || there are multiple people present.
contradiction || neutral || five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television. || five men watch tv.
contradiction || neutral || five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television. || some guys are in a living room.
entailment || contradiction || five young men are in a loft, with one holding a whiteboard and one making a shaka sign in front of the television. || some people are at work.
contradiction || neutral || a man in a black ball cap, black jacket and pants sitting in front of a building painted white and blue with the words ing and people written on it. || the man is sitting in front of a school.
entailment || contradiction || a man in a black ball cap, black jacket and pants sitting in front of a building painted white and blue with the words ing and people written on it. || the man is standing in front of a building.
entailment || entailment || a man in a black ball cap, black jacket and pants sitting in front of a building painted white and blue with the words ing and people written on it. || the man is in front of a building.
entailment || entailment || people seated at long tables all facing the same direction, some writing and some watching. || a group of people are sitting at tables.
contradiction || contradiction || people seated at long tables all facing the same direction, some writing and some watching. || a group of people are sitting at the tables sharing a meal.
neutral || neutral || people seated at long tables all facing the same direction, some writing and some watching. || a family reunion is in progress as relatives sit at tables and write down each other's addresses.
entailment || neutral || an elderly woman is preparing food in the kitchen. || a person makes dinner.
entailment || contradiction || an elderly woman is preparing food in the kitchen. || a man cleans the kitchen.
entailment || entailment || an elderly woman is preparing food in the kitchen. || a woman makes food.
contradiction || neutral || four women competitively rollerskating around an area. || four women enjoying rollerskating.
contradiction || entailment || four women competitively rollerskating around an area. || women rollerskating around an are
entailment || contradiction || four women competitively rollerskating around an area. || four men are rollerskating.
entailment || contradiction || a group of cleaners are sweeping up animal feces from the street during a parade or festival. || a man walking on water.
neutral || neutral || a group of cleaners are sweeping up animal feces from the street during a parade or festival. || workers cleaning up after st patrick's day.
neutral || entailment || a group of cleaners are sweeping up animal feces from the street during a parade or festival. || a group of cleaners after a parade.
neutral || neutral || a young girl in a pink shirt playing with her barbie. || the young girl is having fun.
contradiction || contradiction || a young girl in a pink shirt playing with her barbie. || the young girl is playing with a race car.
entailment || entailment || a young girl in a pink shirt playing with her barbie. || the young girl is playing with a toy.
entailment || entailment || a car is loaded with items on the top. || the car has stuff on top.
neutral || neutral || a car is loaded with items on the top. || the car is going on a trip.
contradiction || contradiction || a car is loaded with items on the top. || the car is a convertible.
entailment || neutral || a man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water. || there are two guys above the water.
contradiction || neutral || a man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water. || two guys are on a lake.
entailment || contradiction || several women wearing dresses dance in the forest. || there are men dancing
neutral || neutral || several women wearing dresses dance in the forest. || the women are older
entailment || entailment || several women wearing dresses dance in the forest. || there are several women
neutral || neutral || a boy in a green shirt on a skateboard on a stone wall with graffiti || a long-haired boy riding his skateboard at a fast pace over a stone wall with graffiti.
entailment || entailment || a boy in a green shirt on a skateboard on a stone wall with graffiti || a boy riding a skateboard on a stone wall.
contradiction || contradiction || a boy in a green shirt on a skateboard on a stone wall with graffiti || a boy in a green shirt rollerblading through the tunnel.
entailment || entailment || the back of a woman wearing a white jacket with blue jeans walking towards a flock of birds. || someone person was near a bunch of birds.
entailment || contradiction || the back of a woman wearing a white jacket with blue jeans walking towards a flock of birds. || there was a dog inside.
entailment || entailment || the back of a woman wearing a white jacket with blue jeans walking towards a flock of birds. || there were some birds near a woman.
contradiction || contradiction || dog running with pet toy being chased by another dog. || a dog is being chased by a cat
entailment || neutral || dog running with pet toy being chased by another dog. || a black dog with a toy is being based by a brown dog
entailment || entailment || dog running with pet toy being chased by another dog. || dog is running and being chased by another dog
contradiction || neutral || two children and a woman climb up the stairs on a metal electric pole-like structure. || a woman and her kids climb up the stairs
entailment || entailment || two children and a woman climb up the stairs on a metal electric pole-like structure. || a woman and two children climb up the stairs
contradiction || contradiction || a man is sitting on the floor, sleeping. || a man is lying down, sleeping.
contradiction || entailment || a man is sitting on the floor, sleeping. || a man is sleeping on the floor.
entailment || entailment || a man is sitting on the floor, sleeping. || a young man is sleeping while in the sitting position.
neutral || contradiction || a woman, wearing a colorful bikini, rests laying down next to the blue water. || the woman is wearing a prom dress.
neutral || neutral || a woman, wearing a colorful bikini, rests laying down next to the blue water. || the woman is a super model.
entailment || entailment || a woman, wearing a colorful bikini, rests laying down next to the blue water. || a woman in a bikini lays near the water.
neutral || neutral || a brown dog jumps over an obstacle. || the dog is a chihuahua.
contradiction || contradiction || a brown dog jumps over an obstacle. || the dog is in a pool.
entailment || entailment || a brown dog jumps over an obstacle. || the dog is in the air.
neutral || neutral || a brown dog carries an object in its mouth on a snowy hillside. || a dog is taking something to its owner.
entailment || entailment || a brown dog carries an object in its mouth on a snowy hillside. || a dog is carrying something.
entailment || contradiction || a brown dog carries an object in its mouth on a snowy hillside. || a dog is carrying an object down a grassy side.
entailment || entailment || a group of people watch a breakdancer in a red jacket do a one-handed trick. || a person is doing tricks in front of crowd.
neutral || entailment || a group of people watch a breakdancer in a red jacket do a one-handed trick. || tricks are made by a person in a red jacket while people watching him.
neutral || contradiction || a group of people watch a breakdancer in a red jacket do a one-handed trick. || man who wears red jacket got an accident.
neutral || neutral || two men in neon yellow shirts busily sawing a log in half. || two men are cutting wood to build a table.
entailment || contradiction || two men in neon yellow shirts busily sawing a log in half. || two men are hammering.
entailment || entailment || two men in neon yellow shirts busily sawing a log in half. || two men are using a saw.
neutral || entailment || two strong men work to saw a log. || two strong men are working
neutral || contradiction || two strong men work to saw a log. || two strong men are having a beer
neutral || neutral || two strong men work to saw a log. || two strong men work to saw the oak log
entailment || neutral || a black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background. || the men are novices at martial arts.
contradiction || contradiction || a black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background. || the men are blackbelts.
neutral || entailment || a black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background. || a man is wearing a red belt.
contradiction || contradiction || two ladies at workout in mother nature. || the ladies are sitting on the floor.
entailment || neutral || two ladies at workout in mother nature. || the ladies are kickboxing.
entailment || entailment || two ladies at workout in mother nature. || the two ladies are outside.
contradiction || contradiction || a kid playing a game called the derby. || the child is sleeping.
entailment || entailment || a kid playing a game called the derby. || the child is playing.
neutral || neutral || a kid playing a game called the derby. || the child is playing a game for fun.
contradiction || contradiction || a man is riding a bike along a dirt trail. || the man is riding a horse.
contradiction || entailment || a man is riding a bike along a dirt trail. || the man is bike riding.
contradiction || neutral || a man is riding a bike along a dirt trail. || the man is riding a dirt bike.
entailment || neutral || a group of people in an alley looking at the camera. || people are hanging out together
entailment || neutral || a group of people in an alley looking at the camera. || people are taking a picture
contradiction || contradiction || a group of people in an alley looking at the camera. || people are on their computer
neutral || neutral || a group of people look at fresh lettuce in at the local street market. || a group of men, and women look at fresh romaine lettuce in at the local street market.
entailment || entailment || a group of people look at fresh lettuce in at the local street market. || people viewing produce at a market.
neutral || contradiction || a group of people look at fresh lettuce in at the local street market. || a group of dogs look at fresh lettuce in at the local street market.
contradiction || contradiction || a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them. || group of people throwing bananas at a market.
neutral || entailment || a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them. || shoppers purchasing vegetables at a busy public market.
neutral || neutral || a group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them. || group of people being filmed purchasing vegetables for a market's advertisement.
entailment || contradiction || an asian wearing a pastel print shirt and sunhat pushing his cart up the street. || an asian man is reading the paper.
entailment || entailment || an asian wearing a pastel print shirt and sunhat pushing his cart up the street. || an asian man is pushing a cart up the street.
neutral || neutral || an asian wearing a pastel print shirt and sunhat pushing his cart up the street. || an asian man is selling food.
entailment || entailment || a man is working on a earthen structure with a pickaxe. || a man has tools.
neutral || neutral || a man is working on a earthen structure with a pickaxe. || a man is repairing a dam.
contradiction || contradiction || a man is working on a earthen structure with a pickaxe. || the man is in an office building.
contradiction || contradiction || two dogs stand side by side in the yard. || two dogs sitting on the porch.
neutral || neutral || two dogs stand side by side in the yard. || two dogs hiding in the yard together.
contradiction || entailment || two dogs stand side by side in the yard. || two dogs standing together in the yard.
entailment || entailment || two older women with a baby that has a pacifier in its mouth, the baby wears an orange and brown dress. || a baby is wearing orange.
neutral || neutral || two older women with a baby that has a pacifier in its mouth, the baby wears an orange and brown dress. || the dress was a gift.
contradiction || contradiction || two older women with a baby that has a pacifier in its mouth, the baby wears an orange and brown dress. || the baby is nude.
neutral || neutral || a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat. || actors who are also martial arts experts face off as opponents with the good guy in brown and black and the bad guy wearing red and a black hat.
neutral || contradiction || a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat. || two women dressed in opposing team colors of brown and black and red and black fight in a karate match.
entailment || entailment || a man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat. || two males are involved in martial arts.
neutral || entailment || a wet child stands in chest deep ocean water. || a child is in the ocean
neutral || entailment || a wet child stands in chest deep ocean water. || the child s playing on the beach.
entailment || neutral || a wet child stands in chest deep ocean water. || the child is a boy.
contradiction || contradiction || three young girls in winter clothing and hats look at disposable cameras they are holding. || the temperature is a scalding 100 degrees fahrenheit.
entailment || entailment || three young girls in winter clothing and hats look at disposable cameras they are holding. || the young girls are together
neutral || neutral || three young girls in winter clothing and hats look at disposable cameras they are holding. || the cameras are cheap.
contradiction || contradiction || a man with a red helmet and numbers on his arm and leg is riding a red racing bike. || a tall man is sitting on a swingset in a deserted park.
neutral || neutral || a man with a red helmet and numbers on his arm and leg is riding a red racing bike. || the man in the red helmet is winning his bicycle race.
entailment || entailment || a man with a red helmet and numbers on his arm and leg is riding a red racing bike. || a person wearing numbers is using a nonmotorized vehicle.
contradiction || contradiction || a man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick. || a man in a red cape and a hat with three feathers sits by himself.
contradiction || neutral || a man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick. || a man sits by himself at mardi gras.
contradiction || entailment || a man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick. || a man with a walking stick sits by himself.
neutral || neutral || the white dog is pulling a large stick. || the dog is playing tug of war with a stick.
entailment || entailment || the white dog is pulling a large stick. || the dog is pulling a stick.
contradiction || contradiction || the white dog is pulling a large stick. || the dog is taking a nap at the park.
contradiction || neutral || a tree worker with a hard hat is cutting down a branch. || the tree appears to be dead.
entailment || entailment || a tree worker with a hard hat is cutting down a branch. || the man is wearing safety gear on his head.
contradiction || contradiction || a tree worker with a hard hat is cutting down a branch. || a ballerina is climbing a tree.
neutral || neutral || a child plays with her father's boots. || a child players with her father's boots while he is at work.
entailment || entailment || a child plays with her father's boots. || a child is playing.
neutral || contradiction || a child plays with her father's boots. || a child is playing with her mothers' shoe.
neutral || neutral || a young boy in a hoodie climbs a red slide sitting on a red and green checkered background. || a red slide on the patio is next to a small swing set.
contradiction || contradiction || a young boy in a hoodie climbs a red slide sitting on a red and green checkered background. || a boy is taking a bath with his rubber duck.
entailment || entailment || a young boy in a hoodie climbs a red slide sitting on a red and green checkered background. || a boy is playing.
entailment || entailment || a lioness closes in on its prey. || a lioness preying
neutral || neutral || a lioness closes in on its prey. || the lioness is hungry
contradiction || contradiction || a lioness closes in on its prey. || the lioness is sleeping
neutral || entailment || a female gymnast in black and red being coached on bar skills. || the female gymnast is training.
neutral || contradiction || a female gymnast in black and red being coached on bar skills. || the female gymnast is on her way to the gym.
neutral || neutral || a female gymnast in black and red being coached on bar skills. || the female gymnast is training for the olympics.
contradiction || contradiction || a woman in a white hijab digs into the ground. || the pigs eat dogs
contradiction || entailment || a woman in a white hijab digs into the ground. || the lady digs into the ground
contradiction || neutral || a woman in a white hijab digs into the ground. || the lady digs into the ground for gold
entailment || entailment || a smiling girl slides down a purple slide feet first. || a girl goes down a slide.
contradiction || contradiction || a smiling girl slides down a purple slide feet first. || a frowning boy is playing soccer.
neutral || neutral || a smiling girl slides down a purple slide feet first. || a girl happily uses the equipment at a playground.
contradiction || contradiction || a skateboarder with a black and white hat at the top of a jump on a snowy day. || a skateboarded is jogging down the street.
neutral || neutral || a skateboarder with a black and white hat at the top of a jump on a snowy day. || a skateboarder is preparing for the new season.
entailment || entailment || a skateboarder with a black and white hat at the top of a jump on a snowy day. || a skateboarder is outdoors.
contradiction || entailment || a man stands by two face structures on easter island. || a man on easter island.
contradiction || contradiction || a man stands by two face structures on easter island. || a child hunts for easter eggs.
neutral || neutral || a man stands by two face structures on easter island. || a tourist has his picture taken on easter island.
neutral || neutral || a man in a red shirt is laying on the grass reaching out to another person. || the man is reaching for his wife.
contradiction || contradiction || a man in a red shirt is laying on the grass reaching out to another person. || the man is sunbathing and doesn't have on anything but his swim trunks.
contradiction || entailment || a man in a red shirt is laying on the grass reaching out to another person. || a man in red is holding out his hand.
neutral || neutral || three women are smiling and making cupcakes. || three women make cupcakes for a bake sale.
neutral || entailment || three women are smiling and making cupcakes. || the three women are happy about baking cupcakes.
contradiction || contradiction || three women are smiling and making cupcakes. || three women go to the spa.
entailment || entailment || men in hard hats work along a wall. || guys are working near a wall.
contradiction || contradiction || men in hard hats work along a wall. || guys are jumping in the pool.
neutral || neutral || men in hard hats work along a wall. || guys are working near a wall and it starts raining.
contradiction || contradiction || the farmers are out working hard on there tractor, they have on their overalls and the machine is almost fixed. || people wearing shorts are standing around doing nothing.
neutral || entailment || the farmers are out working hard on there tractor, they have on their overalls and the machine is almost fixed. || men in overalls work to fix a tractor.
entailment || entailment || the farmers are out working hard on there tractor, they have on their overalls and the machine is almost fixed. || overall wearing people are working to fix a tractor.
entailment || contradiction || two men working on farm equipment that is being pulled by two horses. || the equipment is being pulled by sheep.
contradiction || neutral || two men working on farm equipment that is being pulled by two horses. || the horses are both brown.
neutral || entailment || two men working on farm equipment that is being pulled by two horses. || the men are working on farm stuff.
entailment || contradiction || a skier ski-jumping while two other skiers watch his act. || a skier down the road skiying
entailment || entailment || a skier ski-jumping while two other skiers watch his act. || a skier preparing a trick
neutral || neutral || a skier ski-jumping while two other skiers watch his act. || a skier teaching others a trick
contradiction || entailment || three young boys enjoying a day at the beach. || the boys are in the beach
contradiction || contradiction || three young boys enjoying a day at the beach. || the boys are sleeping.
entailment || entailment || three young boys enjoying a day at the beach. || the boys are young
neutral || contradiction || three children hold a boy's arms down while another boy in a hat shoots a water gun at him. || the boy holds down his laughing nephew as his sister sprays him with water.
neutral || contradiction || three children hold a boy's arms down while another boy in a hat shoots a water gun at him. || the three girls hold the boy down while his girlfriend shoots water at him.
entailment || entailment || three children hold a boy's arms down while another boy in a hat shoots a water gun at him. || there are five children.
entailment || neutral || a dog runs. || the dog is running outside
entailment || entailment || a dog runs. || the dog runs
entailment || contradiction || a dog runs. || the dog is walking
neutral || neutral || a brown and black dog runs on the grass outdoors in front of a sidewalk. || the big dog is playing with a toy.
contradiction || contradiction || a brown and black dog runs on the grass outdoors in front of a sidewalk. || the animal is sleeping in the basement.
entailment || entailment || a brown and black dog runs on the grass outdoors in front of a sidewalk. || a canine is using his legs.
contradiction || contradiction || a black mother in an orange dress with her two little boys and husband at an outdoor market stand. || a family skeet shooting
neutral || neutral || a black mother in an orange dress with her two little boys and husband at an outdoor market stand. || a black family selling fresh produce in an outdoor market
entailment || entailment || a black mother in an orange dress with her two little boys and husband at an outdoor market stand. || people at an outdoor market
entailment || neutral || a group of kids play on a colorful structure. || a group of kids are outdoors.
contradiction || contradiction || a group of kids play on a colorful structure. || a group of kids is watching tv in the living room.
neutral || neutral || a group of kids play on a colorful structure. || a group of kids are playing in the city park.
neutral || neutral || a man walking and carrying a notebook. || the man is on his way to class.
entailment || entailment || a man walking and carrying a notebook. || the man has something in his hand.
contradiction || contradiction || a man walking and carrying a notebook. || the woman is reading a book.
neutral || neutral || a man in an overcoat putting on his gloves at a subway station. || a person is waiting for the train.
entailment || entailment || a man in an overcoat putting on his gloves at a subway station. || a person is in the subway station.
contradiction || contradiction || a man in an overcoat putting on his gloves at a subway station. || a man is taking the bus.
neutral || entailment || one confused man is standing and staring off into the distance in front of some ticket collecting machines. || the man is confused.
neutral || neutral || one confused man is standing and staring off into the distance in front of some ticket collecting machines. || the man is confused because he doesn't know where he is.
contradiction || contradiction || one confused man is standing and staring off into the distance in front of some ticket collecting machines. || the man is not confused.
contradiction || contradiction || under the glaring light of a fluorescent bulb, men in dark clothing and hats approach fare card machines; one older man in a blue scarf glances up as he puts on his gloves. || the men are wearing bright suits in the park.
entailment || entailment || under the glaring light of a fluorescent bulb, men in dark clothing and hats approach fare card machines; one older man in a blue scarf glances up as he puts on his gloves. || the man are covering themselves in clothing.
neutral || neutral || under the glaring light of a fluorescent bulb, men in dark clothing and hats approach fare card machines; one older man in a blue scarf glances up as he puts on his gloves. || the man are putting on their attire before going into the cold weather.
neutral || neutral || two dogs fighting over a pink and red toy || the dogs are in the backyard.
contradiction || contradiction || two dogs fighting over a pink and red toy || the dogs are eating from their dog bowls.
entailment || entailment || two dogs fighting over a pink and red toy || the dogs are near the toy.
neutral || entailment || a group of friends are sitting at a table while drinking alcohol at their local pub. || a group of friends are at the table
contradiction || contradiction || a group of friends are sitting at a table while drinking alcohol at their local pub. || a group of friends are sleep.
neutral || entailment || a group of friends are sitting at a table while drinking alcohol at their local pub. || a group of friends are sitting
