Test Accuracy : 0.5867
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
contradiction || contradiction || Coffee has a bitter taste of its own which would probably cover the taste of strychnine." || Coffee was very bitter, unlike strychnine.
contradiction || neutral || Jim Hart was playing Terry Metcalf was on the Cardinals this was a long time ago || Tery Metcalf wasn't an original member of the Cardinals
neutral || neutral || In planning your trip to Nepal, you can, according to your interests, divide your time between several quite different itineraries. || Most people visiting Nepal choose to visit the pristine mountain ranges as a first order of business.
entailment || entailment || Participants agreed that it would be useful if financial reporting recognized people as assets, but raised the difficulty in valuing human capital. || It is agreed that financial reporting should recognize people as assets.
neutral || contradiction || yeah i'm glad that i'm glad that i saw Ghost before it went || I regret not watching Ghost when it came out.
entailment || entailment || The preamble to the final rule contains a summary of the Final Regulatory Flexibility Analysis. || The preamble has a summery of the final regulatory flexibility analysis. 
neutral || contradiction || Nor does the agency harbor any illusions about the moral hazards engendered by its fight against the hazards of nature. || The group has some very fanciful ideas about morality.
neutral || neutral || Virtually without narration, the spot ends with a row of condom packages morphing into the name of the product. || Without narration the spot ends with a row of condom packages turning into the product name "Durex".`
entailment || entailment || Within the U.S. it is surprising that the average postal density of the bottom quartile of routes (ranked by cost) is lower than the postal density for the rural routes serving the least densely settled 10 percent of the population (50 versus 89). || The average postal density of the bottom quartile of routes is lower than the postal density for the rural routes
contradiction || contradiction || Pumpkin vines climb over rooftops. || The pumpkin vines don't grow near the rooftops.
entailment || neutral || Mrs. Inglethorp, however, seemed to notice nothing unusual.  || Mrs. Inglethorp, however, did not notice the changes in the room's setting.
neutral || entailment || We in the United States seem to give too much weight to things that do not have any bearing on the person's ability to lead the country. || In the United States, we seem to give too much weight to things.
neutral || neutral || Natural Resources and Environment3. || The title was made by a group of people.
contradiction || contradiction || You can always visit independently, but the venue, situated in the suburb of Marianao, is tricky to find, and you might arrive only to find no tickets remaining. || The venue in the suburb of Marianao is easy to find.
contradiction || contradiction || She noted that we have to help patients who have severe alcohol problems. || Patients wit severe alcohol problems can be completely ignored. 
entailment || entailment || In the center of the terrace is Georgian House, owned by the National Trust and restored in period style to show the workings of a typical Georgian household. || If you want to see how a typical Georgian household looks like, go visit the Georgian House.
contradiction || neutral || Clinicians often use their general impression to help with diagnosis, but clinical impressions concerning alcohol problems can be inaccurate. || Clinicians are advised not to use their impression but do so anyways.
entailment || neutral || Evolution of golf on the Old Continent, with a special consideration of mountainous Chorvenia || Golf was played in the mountainous Chorvenia
neutral || neutral || Indeed, in what Dobson is now doing there is an echo of Jesse Jackson's past threats to bolt the Democratic Party if he and his views weren't accorded more respect. || Dobson is not getting the respect that he deserves.
neutral || entailment || the boilerhouse for powerhouses and they do that at night too because employees been complaining that the cars have been pitted and you know spots all over them || Employees were complaining about the cars having spots all over them
contradiction || contradiction || it takes takes him a lot less time because even though he does have to do it every four or five days um since he doesn't have to bag all of those clippings you know it rather than taking i don't know as an example an hour and a half to do the whole lawn it only takes an hour || He still has to bag all those clippings
contradiction || contradiction || But instead of finding his behavior humiliating, as she now tells the Star was the case, the friend says she laughed it off. || She has not spoken to the Star about his behavior.
entailment || entailment || Yes. You too? Tommy nodded. || Tommy agreed. 
entailment || contradiction || The young swordsman continued. || The old swordsman continued. 
neutral || neutral || 8 trillion dollars in fiscal year 2000. || 8 trillion dollars for the fiscal year 2000 probably refers to the national debt.
neutral || neutral || The Jains' non-violent religion excludes them from agriculture as a profession, but they dominate the electronics industry in Bangalore. || The Jains wanted to join the agriculture profession.
neutral || contradiction || And people say that coincidences don't happen! Tuppence tackled her Peche Melba happily. || Tuppence was upset to see Peche Melba, and ignored her for the rest of the day.
entailment || contradiction || Results that don't fit the theory, such as the defeat of Matt Fong in the California Senate race, have simply been ignored--as has the fact that the Republicans retained their majorities in both houses. || Results which don't fit the theory, like the defeat of Matt Fong in the California Senate race have been carefully studied since Republicans maintained majorities in both houses.
contradiction || contradiction || The egg was growing. || The egg didn't seem affected by that.
entailment || entailment || There's an off-campus? || Is there an off-campus?
neutral || entailment || For many years France was a nation of internal contrasts ' between the more urban and industrial north and the rural south, between the intellectual elite and the largely agricultural workforce, between chic Paris and the less sophisticated provincial cities ' and a nation that saw itself as standing alone, distinct from all others. || France used to have sharp contrasts dividing society along regional, economic, and educational lines.
entailment || neutral || Oh, so many people have said this, giving too little thought to how their families would survive without them should fate intervene. || People who do not make provisions for their families are terrible people. 
entailment || neutral || Delhi in particular has very modern facilities, many built for the Asian Games in 1982. || Delhi has good facilities due to the Asian Games.
neutral || neutral || the last uh in fact i guess this was the last movie i saw i said that wrong the last movie i saw was The Hard Way with Michael J Fox well that really wasn't too bad it || The Hard Way was better than I expected.
entailment || neutral || 'You killed Derry.' I repeated it, because I felt a terrible shame for almost forgetting her. || Derry did not deserve to die. 
entailment || entailment || I have a feeling that she's not going to be a misdemeanor trial judge for that much longer, Wong said.  || I have a feeling that she's not going to be a misdemeanor trial judge for that much longer.
contradiction || contradiction || yeah yeah mountain streams and rivers || The mountains have no water.
contradiction || contradiction || First, recruiting a talented workforce requires the commitment of top leadership. || Recruiting a talented workforce doesn't require anything but luck.
entailment || contradiction || right but still that's six months in a hospital || It will be an outpatient visit.
entailment || entailment || Garn, said Number 14 unexpectedly. || What! claimed Number 14.
entailment || entailment || Opened in 1993, the Museum of Tolerance (9786 West Pico Boulevard) is a chilling and provocative experience, with impressive high-tech, exhibits exploring racism and prejudice in America and elsewhere. || The Museum of Tolerance was opened in 1993, and it is a chilling and provocative experience, with impressive high-tech, exhibits exploring racism and prejudice in America and elsewhere.
contradiction || contradiction || The web site (www.gtpnet.com) also lists this information. || The only way to find this information is in a pamphlet.
neutral || entailment || I could only see sideways into the room. || I could only peer into the room obliquely.  
contradiction || contradiction || The disappearance of Jane Finn was forgotten and the whole affair was lost in oblivion." Mr. Carter paused, and Tuppence broke in impatiently: "But why has it all cropped up again?  || Everyone remembers the disappearance of Jane Finn.  
entailment || entailment || For with the proliferation of shifting public signage, slogans, logos, and the lava flow of printout, the words on your clothes are now what certify your physical existence. || The words on your clothes show that you exist.
entailment || neutral || With his tenderness for "a woman's happiness," I felt glad that the decision had been taken out of his hands.  || I was glad he would not be making the decision over whether to charge Mary Cavendish.
neutral || neutral || The California Science Ceter and IMAX Theaterfeatures many interactive exhibits as well as the IMAX. || Interactive exhibits are often more interesting than the theater.
entailment || contradiction || All right, then. || All right, there.
entailment || entailment || Creedance Clearwater Revival uh Crosby Stills Nash and Young when it was still all four || Crosby, Stills, Nash and Young were in Creedance Clearwater Revival then.
contradiction || contradiction || Figure 3.3 shows the net U.S. ownership of foreign assets-the net international investment position13-and net income receipts on net U.S. assets abroad. || Figure 3.3 contains no information about the net U.S. ownership of foreign assets.
neutral || contradiction || An article contrasts the lost years of George W. Bush and Al Gore. || The article contrasts cats and dogs.
entailment || entailment || Renewed pride in France's provincial cities is reducing this trend, but Paris retains its aura of superiority ' and its lack of a distinctive cuisine. || Despite growing pride in other French provincial cities, Paris continues to think of itself as superior.
contradiction || entailment || You could try to breed an expert for every job, including the petty bureaucrats, but what's the point? || There is no point in breeding an expert for a job.
entailment || entailment || yeah that's tough you know || It's tough of course
neutral || entailment || We told those white liberals years ago that you couldn't expect more from Negroes. || The white liberals were told a long time ago.
neutral || contradiction || an IBM PC in like in nineteen eighty one it would cost you five thousand dollars || 30+ years ago, an IBM computer was only $100.
neutral || neutral || because i'm Chapter One and all i do is teach reading all day long || I teach reading to different grades each day.
contradiction || contradiction || Under the Convention of Chuenpi, Britain was given the island of Hong Kong, and on 26 January 1841, it was proclaimed a British colony. || Britain never had any colonies outside of the British Isles.
entailment || neutral || He was much revered for his charity and his championship of the Irish cause. || He adopted 25 orphaned Irish children.
entailment || contradiction || If done well, strategic planning is continuous and provides the basis for everything the organization does each day. || If done well, strategic planning is discontinuous.
contradiction || entailment || Under the best-case scenario - if IOLTA is upheld - we are projecting a $1. || We think that the value in the best case scenario will be $1.
entailment || entailment || quite a lot um it's not it doesn't usually damage any businesses or anything but you can't get off of thirty five to um || Businesses are not damaged most of the time. 
neutral || entailment || SELECTED AVERAGES FOR RESIDENTIAL ROUTES WHEN ROUTES ARE SORTED BY PROFIT PER ROUTE || The routes were sorted by profitability.
entailment || neutral || Jon placed a hand on San'doro's shoulder and stood. || Jon pushed on San'doro's shoulder roughly to get up. 
contradiction || contradiction || but uh yeah there are a ton of movies out seems like a lot just uh you know the first three months of this year seemed like there's been a lot of movies come out || There haven't been any new movies released recently.
contradiction || neutral || This tiny  desert island  offers the opportunity to sunbathe on sandy shores or snorkel in clear water and feel a million miles away from Kingston. || Snorkeling in the clear water off the island is fun and safe.
neutral || neutral || everybody in the dorm watched it i mean everybody you were an outcast if you didn't gather in the TV room at two o'clock in the afternoon to watch this soap i mean people scheduled their class around it and everything so i || The soap was a highly anticipated event.
entailment || neutral || Pursuant to Public Law 104106, National Defense Authorization Act for Fiscal Year 1996, DOD was given the authority to have certifying officers. || The National Defense Authorization Act for Fiscal Year 1996 was a bipartisan effort from both parties.
entailment || neutral || Most bicycles are now sold to adults, all too often wearing ill-advised spandex pants. ||  Most bikes sold in America are purchased for adults.
contradiction || neutral || The differences among the three publications are probably best illustrated by their varying explanations for the mysterious cast that recently appeared on JFK Jr.'s arm. || The three different publications being: the New York Times, the Daily Journal and the Wall Street Journal. 
entailment || neutral || Dutch and Rembrandt's cheerful Self-Portrait with a Toque, his beloved Hendrickje Stoffels, also portrayed nude in Bathsheba Bathing; Van Dyck's gracious, dignified Charles I of England; among the scores of Rubens, his tenderly personal Helena Fourment; Jordaens' Four Evangelists as diligent Dutchmen. || There is a large collection of nude paintings.
neutral || contradiction || I'm going to clear all the Rebs out of this section. || The Rebs can stay in this section as long as they want.
neutral || neutral || Mostyes voters dismissed the predictions of doom as exaggeration, according to polls conducted on either side of Election Day. || Most voters who said yes thought the predictions were vast exaggerations.
neutral || neutral || But still Wendy Wasserstein eludes us. || Wendy Wasserstein has been eluding us for weeks.
neutral || entailment || I feel, however, that children need holiday celebrations, and I like the traditions, feeling they give meaning to life. || Children need to celebrate holidays, I enjoy having traditions they make life better.
contradiction || contradiction || oh i'm telling you i just cried and cried and cried and cried it was so sweet it was sweet but it was sad because you know you just really miss Gary || It didn't make me emotional at all.
contradiction || neutral || and they gave gave it to her anyway || They shouldn't have given it to her.
contradiction || contradiction || However, as discussed in the following case example, the university had developed the most comprehensive procedures for accounting for and analyzing security incidents. || The university has yet to develop procedures for this.
contradiction || neutral || So, do you think I am obligated to invite him? || I really do not want to invite him.  
entailment || entailment || VBA outlined specific sub-elements for the service delivery element and replaced the leadership development element with two additional elements-program integrity and information security. || The leadership development element was replaces by two additional elements.
neutral || neutral || A plume of orange, a blast of white. || The device smoked out a plume of orange then shattered everything to white as it exploded.
entailment || entailment || If the above supply and cost curves are accepted, what are the implications? || What are the implications of the cost and supply curves being accepted?
entailment || contradiction || She lost health care for her children and herself, although she is a borderline diabetic in need of medication and her children were suffering from rat bites. || She kept their health insurance, crucial when dealing with multiple health conditions.
contradiction || neutral || the Methodology of Grounded Theory. || Ground theory research 
contradiction || contradiction || but there's still a problem that uh the shade from the trees just uh grass cannot grow || Grass grows really well under in the shade of trees.
entailment || contradiction || A jungle guide accompanies the group. || The group forgoes the help of a jungle guide.
entailment || neutral || I am open to appointment of Jewish-Americans to a Cabinet, to a vice presidential seat. || Jewish Americans should have power too.
contradiction || contradiction || Robi Appetizer. || There is nothing to eat.
neutral || entailment || Every day except Sunday, at one o'clock in the afternoon, a loud boom splits the air, shattering the calm of visitors yet prompting locals merely to glance at their wristwatches. || Visitors were startled by the loud booms but the locals thought of it as normal.
entailment || contradiction || Gaza, on the Mediterranean coast, is most troubled of all and is best avoided altogether. || Gaza is located inland near a mountain range.
neutral || neutral || The Methodology of Comparative Research, pp. 1-20. || 20 pages on the Methodology of Comparative Research.
neutral || neutral || Strictly Tourist || Only tourists are allowed.
contradiction || contradiction || yeah i'm the i'm the teacher i give as it were || I have never taught anything.
entailment || contradiction || Although Alcoy has a reputation for dourness and occasional winter snow, the townspeople are usually very friendly. || Alcoy is a bright and sunny place but does not have friendly people.
neutral || contradiction || Fourth, we conducted a quantitative sensitivity test on one aspect of the PM-mortality dose-response function. || The sensitivity test was planned, but we did not conduct it.
neutral || neutral || What about W.'s telling Trudeau--making it, in fact, absolutely clear-that he didn't like it   didn't like it at all? || Trudeau had a problem with what W. made clear. 4
neutral || contradiction || Grantees were required to submit reports outlining their state plans by October 1, 1998. || The grantees did could turn in their report whenever they wanted too.
neutral || contradiction || well that's great i i wish you all the best in in your future in your endeavors out there in what ever you are doing and it's good to talk to a a a student rather than || It's unfortunate I had to converse with only a student, but may your future be riddled with success.
contradiction || contradiction || This time she was much better prepared. || She was not ready.
neutral || neutral || But neither has an office in Salem. || The accountant doesn't have any offices located in Salem, Massachusetts. 
neutral || neutral || half of which is coming true || Half of the psychic reading is coming true.
neutral || neutral || I drank to howling, puking excess. || I regret drinking so much last night.
entailment || neutral || The practices commercial companies use to capture knowledge are not currently used in this environment because the business case does not favor them. || The business case does not favour them as it is not profitable in the long run.
neutral || entailment || I had counted the cups carefully, in the event of one having been removed.  || I had prepared for the possibility of a cup being removed.
contradiction || contradiction || Paragraphs 4.26 and 4.27 provide guidance on factors that may influence auditors' materiality judgments in audits of government entities or entities receiving government assistance. || Paragraphs 4.26 and 4.27 do not provide any information on the influences of auditors.
entailment || entailment || At the same time, we found that the practices used by federal CIOs tend to differ from those used by leading organizations. || Federal CIO practices are different from other organizations. 
contradiction || contradiction || But no, her zeal for good works was too great.  || She had no zeal.
neutral || neutral || The small entities are composed of tier II day care home providers who will experience a large decrease in reimbursement rates for meals served. || The small entities were a bit issue for the government because they did not incorporate all the varying factors that were present.
entailment || neutral || The rest of the country had endured Vietnam and Watergate, but New York had its own little  bankruptcy and physical collapse. || New York couldn't focus on Vietnam and Watergate because they were having problems with bankruptcy.
entailment || contradiction || McCain's ultimate weapon is cynicism. || McCain is optimistic.
entailment || contradiction || my home all right my home is about fifteen years old || I burned my home down fifteen years ago
entailment || contradiction || Nothing." Tuppence nodded gloomily. || Nothing! Tuppence exclaimed excitedly
entailment || entailment || and the victims you know the family of these people that have been murdered they just have to have it dragged on for years and years before they ever get any resolution || The family of the victims are dragged on and on for years until they get any resolution.
contradiction || contradiction || In the apse there's a moving mosaic of the Madonna above a frieze of the 12 Apostles. || The artist was told to refrain from making any paintings of the Madonna or religious figures. 
contradiction || contradiction || Computer Security Act of 1987 addresses the importance of ensuring and improving the security and privacy of sensitive information in federal computer systems. || There is no Computer Security Act of 1987 in existence. 
neutral || neutral || Quite dead. || The dog was dead. 
neutral || neutral || oh yeah i can remember at one time the the uh secretaries actually had to be artists and  and technicians and today uh with the laser printer || Yes, I remember that at one time the secretaries had to be artists and technicians, but in the future this will change a lot.
entailment || entailment || Joyce himself must have known the house as the residence of Mr. Denis J. Maginni, professor of dancing, who appears several times in Ulysses. || Denis J. Maginni appears several times in Ulysses.
entailment || contradiction || Tommy, I'm getting discouraged. || The speaker ignores Tommy and says nothing.
entailment || entailment || We will feed you to each other making you fat on your own until it is our time to feast. || There is cannibalism involved.
contradiction || contradiction || First, the earthquake of 1923 and subsequent fire razed nearly all vestiges of old Edo, killing some 140,000 people in the process. || Edo was never affected by an earthquake throughout its history.
contradiction || neutral || Anna Quindlen's third novel--a thriller about domestic violence--is seen as yet another way to repackage her old New York Times columns. || Quindlen has only written three novels.
entailment || neutral || The privacy and confidentiality of medical records, credit histories, and other personal data on millions of individuals stored in electronic databases are also at potential risk. || Some electronic databases were hacked leaving the privacy and confidentiality of medical records, credit histories, and other personal data of many people at risk.
entailment || entailment || At the same time, there are other key assumptions that EPA adopted to facilitate the evaluation of the four scenarios. || Key assumptions exist that the EPA embraced to quicken the evaluation.
neutral || neutral || so have we been very very fortunate || We have been very fortunate that someone helped us back then.
contradiction || neutral || And yet, while this oversaving is costly to any given generation, it enriches future generations. || Our generation is benefiting from the savings of the past generation.
neutral || entailment || It's My Money || This money belongs to me.
entailment || entailment || Quite a long trek to the northwest is the small Museo Arqueolegico, noted for its exceptional collection of Roman mining tools used to extract the considerable mineral wealth of La Unien, a neighbouring inland town. || An excellent collection of Roman mining equipment is held by the Museo Arqueolegico. 
contradiction || contradiction || Perspectives on the Household Saving Rate. || The only opinion that anyone has on the Household Saving Rate.
contradiction || contradiction || Additionally, some synergies have been observed between methylmercury and lake acidity - the more acidic, the greater the mercury concentration. ||  No synergies exist between methylmercury and lake acidity.
entailment || entailment || Tommy dropped off the bed and came and inspected the contents of the tray. || Tommy took the bed somewhere.
contradiction || contradiction || I worked with several other people, Israelis and Americans, to develop a policy that would rescue Israel from devastating inflation and set the country on a course of durable economic progress. || I do not work with any Americans to improve the economic situation in Israel.
contradiction || entailment || (1) How long are seasonal agricultural workers typically in the United States? || Do seasonal agricultural workers stay in the US for a while?
neutral || contradiction || This section includes all the most important towns and regions to help you make your choice. || The section shows a wide variety of towns, making it hard for you to choose.
entailment || neutral || So be it. || Let the butterfly be.
contradiction || contradiction || Dark and cramped, crawling and chipping at an invisible wall in front hoping the mountain didn't collapse. || They called in a wrecking ball to destroy the wall.
neutral || contradiction || However, much of the beautiful artwork found here is, for the moment, in the archaeological museum in Athens. || The artwork here cannot be found anywhere else.
entailment || entailment || oh well that's great that's great || That is absolutely amazing.
entailment || neutral || we've got a couple of Live Oaks in the front yard and of course they're they weren't native to this particular spot but they seem to have done pretty good and || Live Oaks are known to thrive in almost any type of landscape.
contradiction || contradiction || This is a good place to rest and recuperate, and gain a different slant on life in the city; you may come upon the Barge Cafe, which travels up and down the canal, and serves breakfast and brown-bag lunches. || The Barge Cafe stands completely still, making it easier to locate.
entailment || entailment || Al Gore, Chemical Brother || A chemical brother is Al Gore.
neutral || entailment || i need to go over there and stay about twenty years so i can just travel go around all the places Stonehenge of course you know every everybody makes the obligatory trip to Stonehenge || I want to travel there for twenty years.
contradiction || neutral || The postal revenue decreases by e of a cent times the 20 billion pieces, but the postal cost decreases by 4a time the 20 billion pieces. || The postal cost decrease is the main factor in the increase of revenue.
contradiction || entailment || Her face was round and kindly, which somehow made her temper all the more terrifying. || She had a horrible temper.
entailment || neutral || right have you ever been to Canada || Have you seen Canada? 
contradiction || contradiction || We are also using many recruiting flexibilities that are available to most agencies, including an extensive campaign to increase our competitiveness on college campuses and extending offers of employment during the fall semester to prospective employees who will come on board the following spring and summer. || Agencies cannot be flexible in their recruiting efforts.
entailment || entailment || All the major towns have several shops with jackets, hats, boots, rain gear, etc. || All the major towns have stores.
contradiction || contradiction || Time 's package backlashes against recent articles ( The New Yorker , Newsweek ) suggesting that parents matter little in a child's upbringing. || The articles had no backlash from Time's package.
neutral || neutral || Me, I has me a ridin' mule as kin smell Apaches two miles off. || The mule is really useful for letting me know when Apaches are nearby.
entailment || entailment || Oh yes, it also appears, according to experts who have carefully examined the skeleton, that he was Caucasian. || Experts say that he was Caucasian.
entailment || entailment || The place also offers a terrific view. || A terrific view can be seen at the place.
contradiction || contradiction || Time 's cover story tries to explain How Colleges Are Gouging U. Tuition has risen twice as fast as inflation, says Time , mostly because parents are willing to pay, but also because universities hoard their endowments and pay their professors too much. || Tuition has decreased to a third of what it once was.
entailment || entailment || Organizational Techniques Companies Use to Perpetuate or Change Beliefs and Values || Companies use organizational techniques to strengthen their values.
contradiction || contradiction || The other men turned and stared at the salt miner. || The man ignored the miner.
entailment || neutral || Madrid may be a planned bureaucrat's town (like Brasilia or Washington), but it's far richer in color and tone. || Madrid is more than just a bureaucrat town.
entailment || neutral || It probably won't come naturally to an American male, but, in an attempt to enter into the spirit of French daily life, I will cultivate a Look of my own. || American males probably can't dress fashionably naturally.
entailment || entailment || Then came the Dreyfus Affair, and Monet's faith in French nationalism was shattered. || Monet originally had faith in French nationalism.
entailment || neutral || in biographies well i uh i have read some biographies i prefer to read if i read a biography it's mostly because maybe i have to uh you know back when i was in school i had to have information about that person or um preparing some kind of lesson and i need to have || I have read some biographies about famous people and politicians.
contradiction || contradiction || oh i wish i had that booklet here oh i think i do it's right here uh i'll look at the end because those would be the best ones okay || I don't think we need that booklet, but I didn't bring it with me anyway.
neutral || neutral || Can a new speed-reading manual be far behind? || The growing popularity of speed-reading has put a new manual into demand.
neutral || entailment || NOW accuses PK of being too friendly with the bad boys of the religious  media mogul James Dobson (who gave PK its initial seed money and promotes it on his radio network), Pat Robertson (who promotes PK on television), and Gary Bauer (who heads the Dobson-backed Family Research Council). || PK is being accused by NOW for being too friendly with people like James Dobson and Pat Robertson.
contradiction || entailment || McCann's performance is said to be almost unbearable. || McCann's performance is said to be terrible.
contradiction || contradiction || I came over to Europe on purpose to find you and a pretty dance you've led me." The car slackened speed. || I did not come here with the intention of finding you.
neutral || neutral || yeah me too me too i need to go actually get something to eat here || I would like to join you next time you go to eat there.
entailment || entailment || than typing and everything so oh yeah it's it's uh around the corner || It's around the corner.
entailment || neutral || Such a system, however, might not be the most desirable, one downside being that the smallest single-piece mailers could default to a rate that is high enough to cover all destinations. || Small single-piece mailers can be a rate of 35c.
entailment || contradiction || Newsweek 's Michael Jordan cover story focuses on off-the-court Jordan. || The Times covery story focused on Jordan's basketball career. 
contradiction || neutral || Thank you, sir. Slim ran out again, closing the door gently behind him. || Slim was happy with the answer and quietly left the room.
contradiction || neutral || But the Shopping Avenger was born again. || They avenged shopping, everyone was happy. 
contradiction || neutral || i think that's that's that's not very likely || I actually know for certain that that is highly improbable
neutral || neutral || but uh i really i really enjoy the car i have now and i do want to hold onto it and and uh you know enjoy it while it's not having any mechanical problems whatsoever in fact it never has and uh || I think I'm going to keep the car I have now for a few more years.
neutral || neutral || And you wear it in plain sight? said A'deem. || A'deem was wondering if you wear your armor in plain sight.
neutral || neutral || but since there's so much more to go around that that leaves the the lower classes with more || Since the economy has been good and there is more money, the low class people have more.
entailment || entailment || to remain biological they uh women are because they have choice are having children much later in life || Women have the choice to have children later in life.
contradiction || contradiction || In addition, several of the security managers expressed interest in improving their ability to more precisely measure the costs and benefits of security-related activities so that their organizations could better determine which controls and activities were the most cost effective. || The managers do not care about their spending.
contradiction || contradiction || The price in the restaurants on Tor Road is exorbitant, but you might like to try the beef either grilled straight or prepared Japanese-style as sashimi (raw), sukiyaki (thinly sliced and pan-fried), or shabu-shabu (stewed in a hot-pot broth). || The restaurants on Tor Road have all been closed.
entailment || entailment || Perhaps it would be more correct to say I'm preparing a case. || He'd be right to say I'm preparing a case.
contradiction || contradiction || The Forbes campaign claims that more than 160 stations in 45 states carry this commentary. || All 50 states carry this commentary.
entailment || contradiction || um yes yeah we just had salmon last night for dinner uh but also the spices here um old bay is a spice i don't know if you're even aware of it it's what they used on the || We just had beef last night for dinner.
contradiction || contradiction || The friezes on the northern side, depicting battle scenes, weaponry, and naval equipment, celebrate Julius Caesar's victories over the Gallic tribes of the region and the merchant fleet of the Greek colony in Marseilles. || The Gallic tribes defeated Julius Caesar's army.
neutral || neutral || A rich variety of natural beauty close by provides opportunities to explore caves, a waterfall, and secluded beaches. ||  There is a lot of natural beauty around the resort and you can take a free shuttle to see it all.
entailment || entailment || There's not exactly a shortage of them. || There is no shortage of them.
neutral || contradiction || Like Net fund raising, Net advertising isn't destined to replace the older method (i.e. || Net advertising is going to replace the older method.
contradiction || contradiction || Cara, his youngest female, belched at him as he left. || Cara was silent.
neutral || neutral || In 1782, after only a few years, the city decided to impose planning guidelines. || The 1782 planning guidelines were abandoned seven years later.
contradiction || entailment || Acknowledging the situation's class dimensions blunted the racial animosity--and created a coalition of blacks and less affluent whites. || The blacks and poor whites joined together.
entailment || contradiction || and uh he actually they came out with a European racing green uh Miata that's a limited edition they're only going to make like three or four thousand so he went out and he traded the other one in and got this one and i'm like um || The Miata has been pushed back a few years on the production schedule.
neutral || contradiction || well i think that covers it || I have much more to say.
entailment || entailment || Croatia is ostensibly a democracy, but it has functioned under Tudjman like a semi-fascist dictatorship. || Croatia is a democracy that has been functioning like a dictatorship.
contradiction || neutral || right well it truly surprises me because it seems like we seems like we do get a lot of rain but i guess not i guess it doesn't accumulate too much but um i'm glad it's summer || I'm glad its summer so we can go boating at the lake.
contradiction || contradiction || 'So you're not just here to bring me in?' || So you're here to take me?
contradiction || neutral || yeah i i don't have any children so but i i have a lot of friends with children  and i know they spend a lot of time with them  which is good || I want to have kids one day.
neutral || contradiction || But this new housing was grimly overcrowded, and even a frenzy of construction couldn't keep pace with the demand for living space. || The housing had only 2 people in it.
contradiction || contradiction || To protect your privacy, ask your bank to restrict access to your records and beg your member of Congress for legislative protections. || Your privacy will be protected without any action taken on your part.
neutral || neutral || The design for the new building was the subject of a competition won by Spanish architect and designer Enric Miralles. || The new building was intended to look similar to the old building.
neutral || neutral || The assault was a failure, but it thrust into the limelight its young leader, Fidel Castro. || The assault was a failure, but it thrust into the limelight its young leader, Fidel Castro as a military leader.
entailment || entailment || This is more complex because the criterion of sufficient protection is much less certain ||  The criterion of sufficient protection is very uncertain
neutral || neutral || The factual record before the Commission demonstrates that Congress' purpose of providing meaningful representation to H-2A workers for claims arising under their employment contracts cannot be accomplished under the original interpretations offered in the Federal Register notice. || H-2A workers can not be helped when working issues come up because of the wording in the Federal Register notice. This allows employer to treat them unfairly with no recourse.
entailment || entailment || A brilliant blue lizard flashed over my feet, chasing after a cockroach. || A lizard ran past me.
neutral || entailment || Portugal's wine industry produces not only excellent table wines from regions like Dao, Douro, and Alentejo, but legendary port wine, which comes from the north. || Portugal's wine industry produces excellent table wines. 
neutral || contradiction || Mexico blames the American company that processed the berries. || Mexico lauded the American company for destroying the berries.
entailment || neutral || Abraham, the first Jewish Patriarch, led his people here in search of  the land of milk and honey ; Jesus Christ was born, lived, ministered, and died here; and Mohammed, the founder of Islam, visited Jerusalem during his heavenly  Night Journey.   || Mohammed has visited Jerusalem several times in his lifetime.
entailment || entailment || Nevertheless, U.S. officials assert that the helicopters and Army soldiers are an expansion of the air operation, supporting the air campaign, and not a ground force. || The air operation is not a ground force.
entailment || entailment || Note that these estimates, while approximating the full impact of daily pollution levels on daily death counts, do not capture any impacts of long-term exposure to air pollution. || The estimates don't include long term air pollution.
contradiction || neutral || The RPH does not much elaborate on how he would balance the budget after his cuts. || His budget cuts are totally unexplainable.
entailment || entailment || yeah um-hum at uh Camp Warnicke || Yes, at Camp Warnicke.
neutral || entailment || Safe sex. || Safe sex can be achieved.
entailment || entailment || maintains the inhouse capabilities to perform the design reviewrelated Do Federal Agencies Face functions listed above. || They need the capability to perform a design review.
entailment || entailment || Hotels, restaurants, and shops have proliferated, extending a warm welcome and the best of Lakeland hospitality to ever-growing numbers of visitors. || There are hotels, restaurants, and shops in the area.
entailment || entailment || AIM-9X Missile Program The AIM-9X development practices closely paralleled best practices used by the commercial companies we visited. || The AIM-9X used similar practices to commercial companies.
contradiction || contradiction || and they're never going to let liquor in there || You can take liquor in there. 
neutral || entailment || Meanwhile, in June alone, big Chinese enterprises affiliated with ministries and local governments raised 17. || Chinese companies linked to ministries and local governments got 17.
entailment || entailment || This is the more obvious criterion that distinguishes Dole. || This is what distinguishes Dole.
contradiction || contradiction || kind of hilly country up through this way but || Lots of flat, desert land around here.
entailment || entailment || The analysis concluded that the rule as proposed in 1993 would have had severe adverse effects on small businesses. || Small businesses would go under as an consequence of that rule.
entailment || entailment || okay it was nice chatting with you bye-bye || Bye, it was good talking to you.
entailment || entailment || To the right and left of the gate there are paneled galleries, also carved and painted with a motifs from pine and plum trees, birds of the field, and waterfowl. || Waterfowl are depicted on the paneled galleries.
entailment || entailment || If there's going to be any fun, now is when it will begin. || The fun is going to start now.
entailment || neutral || Projected AC Demand Due to Multipollutant Initiative. || Aggregate costs for the initiative are high.
neutral || entailment || They're blooded stock. || They are high quality animals.
